"Table 2.7: Occupational details of the community of MWS-011 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi 
Government","Private","Self-Occupied","Estate Worker","Agriculture","Laborer","Foreign 
Employment","Other","Unemployed"
"498B","Agappala","40","-","28","10","-","247","-","4","-","96"
"501A","Bulugahapitiya","40","1","40","4","-","65","-","7","-","6"
"502B","Diggalpotta","38","6","24","24","-","184","28","4","-","28"
"502","Ekiriya","35","-","40","25","-","60","20","7","15","25"
"501E","Enasal Arawa","39","-","58","12","-","154","25","3","-","28"
"502A","Hapugasdeniya","39","-","69","36","-","16","55","5","14","130"
"499B","Karamidula","25","3","11","3","-","215","15","-","-","20"
"501D","Kawatayamana","14","20","60","4","4","9","45","12","50","186"
"500D","Kosgaha Debala","53","2","48","16","-","-","4","3","-","-"
"498F","Labuhena","120","30","118","95","-","126","120","9","-","130"
"501C","Madumana2","98","32","25","20","-","485","270","15","-","7"
"498C","Makempe","14","2","20","20","-","140","12","3","-","20"
"498A","Poramadulla","260","-","302","93","32","308","73","9","-","241"
"498E","Puranagama","12","1","38","10","-","74","-","3","-","15"
"497","Unanthenna","48","10","74","12","-","127","7","9","17","-"
"498","Wegama","14","3","50","3","-","300","68","-","-","15"
,"Total","889","110","1, 005","387","36","2, 510","742","93","96","947"
