"Table 2.5: GN-wise demographic details of the MWS-011","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"498B","Agappala","10","182","304","297"
"501A","Bulugahapitiya","121","161","223","230"
"502B","Diggalpotta","145","264","480","449"
"502","Ekiriya","130","188","279","245"
"501E","Enasal Arawa","189","231","389","362"
"502A","Hapugasdeniya","158","225","354","300"
"499B","Karamidula","134","163","251","265"
"501D","Kawatayamana","110","168","291","214"
"500D","Kosgaha Debala","210","242","365","369"
"498F","Labuhena","350","242","365","369"
"501C","Madumana2","0","328","481","473"
"498C","Makempe","103","114","230","207"
"498A","Poramadulla","865","787","1325","1350"
"498E","Puranagama","65","63","138","120"
"497","Unanthenna","139","168","278","258"
"498","Wegama","118","143","203","220"
,"Total","2847","3669","5956","5728"
