"Table 5.40: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
,"Supply of Insect Proof nets (3mx50m)",,"12","30,000","360,000.00","75%","270,000.00"
,"Supply of Bio films (500ml) bottles",,"20","1,250","25,000.00","100%","25,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"10","1,000","10,000.00","100%","10,000.00"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000.00","100%","20,000.00"
"Improvement of Cultivation practices of Cabbage (10 Farmers with 1/4 ac)","Soil testing",,"10","290","2,900.00","100%","2,900.00"
,"Supply of Quality seeds (Variety Volcano or Oxilus)",,"250g","250,000.00","62,500.00","100%","62,500.00"
,"Supply of Neem (400ml bottles)",,"20","750.00","15,000.00","100%","15,000.00"
"Export Crops","Coffee","Bulugahapitiya-100, Diggalpotha-12000, Karamidula- 600, Kosgaha debala-600, Labuhena- 2400, Madumana2-100, Makempe-1800","17600","30","528,000.00","100%","528,000.00"
,"Pepper","Agappala-3000, Bulugahapitiya-200, Diggalpotha- 2500, Ekiriya-500, Hapugasdeniya- 800, Kosgaha debala-1600, Labuhena-2400, Madumana2-300, Makempe- 3000, Poramadulla-2500, Puranagama-3000, Unanthenna-1000","20800","40","832,000.00","100%","832,000.00"
,"Vanila","Bulugahapitiya-50, Ekiriya-100, Kosgaha debala- 700, Makempe-1000, Poramadulla-200","2050","40","82,000.00","100%","82,000.00"
,"Clove","Kosgaha debala- 300, Makempe-2000,","2300","130","299,000.00","100%","299,000.00"
,"Ginger","Bulugahapitiya-100, Hapugasdeniya-200, Kosgaha debala-400, Labuhena- 800, Madumana2-100, Makempe-500, Unanthenna-400, poramadulla-120","2620","18","47,160.00","100%","47,160.00"
"Livestock","No of cow","Agappala-10, Bulugahapitiya-5, Diggalpotha-5, Karamidula-6, Kosgaha debala-6, Labuhena-5, Madumana2-6, Makempe-8, Poramadulla-2, wegama-4","57","250,000.00","14,250,000.00","50%","7,125,000.00"
,"No of goat","Agappala-5, Karamudula-8","14","40,000.00","560,000.00","50%","280,000.00"
,"No of chicks","Bulugahapitiya-7, Diggalpotha-12, Ekiriya-3, Karamidula-10, Kosgaha debala, 30, Labuhena-10, Makempe-20, Poramadulla-10, puranagama-3, Unanthenna-10","115","1,500.00","172,500.00","50%","86,250.00"
,"Incubator","Karamidula-3, Kosgaha debala- 1, Labuhena-2, Madumana2- 3, Makempe-2, Poramadulla-2, Unanthenna-3","16","60,000.00","960,000.00","50%","480,000.00"
,"No of sheds - cow","Bulugahapitiya-1, Diggalpotha-5, Karamidula-5, Kosgaha debala-7, Labuhena-5, Madumana2-5, Makempe-5, Poramadulla-5, Puranagama-5, Unanthenna-2, wegama-2","47","300,000.00","14,100,000.00","50%","7,050,000.00"
,"No of sheds - goat","Karamidula-4","4","150,000.00","600,000.00","50%","300,000.00"
"Protected Agriculture","Polytunnel","Agappola-2, Bulugahapitiya-2, Diggalpotha-2, Ekiriya-2, Hapugasdeniya-2, Kosgaha debala-2, Madumana2-2, Makempe-2, Poramadulla-2, Puranagama-1, Unanthenna- 2, Wegama- 2","23","700,000.00","16,100,000.00","50%","8,050,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Karamidula-10, Kosgaha debala-1, Labuhena-15, Madumana2-10, Makempe-5, Poramadulla-5, Unanthenna-10","56","8,000.00","448,000.00","75%","336,000.00"
,"Curry powder grinding","Karamidula-1, Unanthenna-1","2","120,000.00","240,000.00","50%","120,000.00"
,"Jackfruit drying machines","Karamidula-1","1","850,000.00","850,000.00","50%","425,000.00"
"Total Cost",,,,,"50,068,660.00",,"30,086,990.00"
