"Table 5.9: Details of anicut schemes available in MWS-011","","","","",""
"No","Name of the anicut","GND No","Name of GND","Location","NA"
,,,,"N","E"
"1","Daraanakubura anicut","502","Ekiriya","7.144678","80.761994"
"2","Orukandawela anicut 1","502A","Hapugasdeniya","7.155494","80.757988"
"3","Orukandawela anicut 2","502A","Hapugasdeniya","7.155238","80.7576"
"4","Ginisarawa anicut","501C","Madumana",,
"5","Madumana 2 Ela anicut","501C","Madumana","7.116463","80.756937"
"6","Palle Hiran Ella anicut","498E","Puranagama","7.13445","80.754956"
"7","Weli Liyadda anicut","497","Unanthenna","7.166334","80.74429"
"8","Gallegoda anicut","498","Wegama","7.129373","80.764866"
