"Table 5.3: Key OFF-FARM proposed for soil and water conservation in MWS-011 belongs to Hanguranketha DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","498B","Agappala","No special issues are reported",,,,,,,,
"2","501A","Bulugahapitiya","1. Establishing a retaining wall","5","7.125278","80.774236","20 m x 2 m","Retaining Wall (Masonary)","880,000","By the project","0.25 Years"
,,,"2. Establishing a retaining wall","1","7.125824","80.774102","400 m x 2 m","Retaining Wall (Masonary)","17,600,000","By the project","0.5 Years"
"Sub Total","18,480,000",,,,,,,,,,
"3","502B","Diggalpotta","1. Renovation of natural drains - Orukadawela Kadura","2","7.155322","80.757448","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","200,000",,,,,,,,,,
"4","502","Ekiriya","1. Renovation of natural drains - Hunugala Oya","4","7.145768","80.76106","1.6 km","Planting some trees along the banks and other conservation practices","160,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Stream starts from Abethota Ulpatha","4","7.1443194","80.756882","200 m","Planting some trees along the banks and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Yakkawana Kuda Oya (Hunugal Oya)","3","7.146899","80.75864097","3 km","Planting some trees along the banks and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","480,000",,,,,,,,,,
"5","501E","Enasal Arawa","1. Renovation of natural drains - Patti Arawa Oya","1","7.122472","80.768008","3 km","Planting some trees along the banks and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Mirith Hena Kadura","1","7.120214","80.769448","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Naaya Kadura","4","7.121893","80.766795","350 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","35,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Kumara Pihilla Kadura (Enasal Arawa)","1","7.11568","80.76968","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Panwaththa Oya","4","7.124668","80.766847","1.2 km","Planting some trees along the banks and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Panwaththa Oya Kadura","5","7.125043","80.766855","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Renovation of natural drains - Panwaththa Oya Mala Kadura","5","7.125043","80.766855","900 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","90,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"8. Renovation of natural drains - Nelliwala Mala Kadura","5","7.125158","80.768046","900 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","90,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"9. Renovation of natural drains - Karalain Waththa Kadura","1","7.120396","80.771882","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"10. Renovation of natural drains - Enasal Arawa Kadura","4","7.116247","80.769949","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"11. Establishing a retaining wall","3","7.122053","80.767456","8 m x 3 m","Retaining Wall (Concrete)","940,500","By the project","0.25 Years"
"Sub Total","2,325,500",,,,,,,,,,
"6","502A","Hapugasdeniya","1. Renovation of natural drains - Orukadawela Kadura","1","7.155678","80.757977","2.05 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,500","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Daba Kadura","5","7.154552","80.763077","4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","600,500",,,,,,,,,,
"7","499B","Karamidula","1. Renovation of natural drains - Pussalla Oya","4","7.12312","80.74514","1 km","Planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Pussal Oya","4","7.125048","80.749506","1.3 km","Planting some trees along the banks and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Mala Kadura starting from Baduluwel Kanda","4","7.12862","80.748129","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Karamidula","4","7.12512","80.746037","350 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Dara Oya","3","7.125223","80.745739","1.5 km","Planting some trees along the banks and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","760,000",,,,,,,,,,
"8","501D","Kawatayamana","1. Renovation of natural drains - Stream starts from Rahathungoda Ulpatha","1","7.11164","80.771475","1.05 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,500","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","100,500",,,,,,,,,,
"9","500D","Kosgaha Debala","1. Renovation of natural drains - Ma Oya","3","7.155688","80.743876","3 km","Planting some trees along the banks and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Mala Kadura ends  from Ma Oya","4","7.156581","80.742731","5.4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","540,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
