"Table 2.2: Land use and land cover details of MWS-018-1","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","2.0","0.1%"
"2","Forest lands","646.1","42.8%"
"3","Forest plantation","28.9","1.9%"
"4","Grass land","34.2","2.3%"
"5","Home garden","148.9","9.9%"
"6","Paddy","60.9","4.0%"
"7","Rocky area","17.9","1.2%"
"8","Scrub land","76.4","5.1%"
"9","Seasonal crops","338.2","22.4%"
"10","Tea","110.7","7.3%"
"11","Water bodies","12.5","0.8%"
"12","Wetland","34.2","2.3%"
,"Total","1510.9","100.0%"
