"Table 5.43: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS","Project Con   RS","Proposed training Partner"
"1","Project Awareness and Orientation Program (For MWS-015, MWS-016, MWS-017, MWS-018-1,MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level Commun for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","DOA/TBD",,,,,
"3","Water Management Training for the Selected Development officer of DAD in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","NRMC+ DEA",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","DOA/ NRMC/ University",,,,,
"6","Climate Change Adaptation Awareness for MWMC (including technical committee members)","1","1","25","67,450","2,500","64,950","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing Awareness for EDO of Mathurata DSD (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","NWSDB/NRMC",,,,,
"9","Forest Fire Prevention and Control Training for Selected officers of Forest Department in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Awareness for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Mathurata DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC/ University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-015 (Mathurata)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","8","1","400","707,200","-","707,200","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","8","1","400","537,600","-","537,600","NRMC/DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","8","1","400","529,200","-","529,200","DOA"
"19","Important of Home Garden Improvement for watershed Management (Common for MWS-015, MWS-016, MWS-017, MWS-018-1, MWS-019, MWS-020-1 and MWS-021-2.)","Budget was allocated under MWS-015 (Mathurata)","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","8","1","400","296,000","-","296,000","AI, AR&PA and EDO/NRMC"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","8","1","400","296,000","-","296,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","8","1","400","529,600","-","529,600","DOA/NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","8","1","320","594,400","20,000","574,400","DOA"
"24","Climate Change Adaptation Awareness  for GPC and selected farmers","8","1","400","472,000","-","472,000","AI, EDO"
"25","Conduct Field Day on Climatic Change Adaptation","8","1","400","280,000","-","280,000","AI & EDO"
"26","Awareness Forest Fire Prevention and Control GPC and community members","8","1","400","649,600",,"649,600","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","8","1","400","649,600",,"649,600","Forest Department"
"28","Awareness on Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Mathurata DSD)","26","1-2 Hours","Budget is not required","Trained Teachers",,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","8","1","400","369,600",,"369,600","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","8","1","400","256,800",,"256,800","EDO and SDO"
"31","Career Guidance & Career Fair Event (Mathurata DSD)","Budget was allocated under MWS-015 (Mathurata)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Awareness on Gender and Social Inclusion Training","2","1","70","108,700","5,000","103,700","TBD"
"33","Community Training - livelihood and Marketing",,,,"635,000",,"635,000",
,"Total Estimated budget",,,,"6,978,750","27,500","6,951,250",
