No.,GND No.,GND Name,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,976,Uda Deltota,1. Renovation of natural drains - Galaha Oya,1,1,7.202572,80.669722,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,976,Uda Deltota,,1,2,7.202427,80.671835,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,976,Uda Deltota,2. Renovation of natural drains - Palugama Oya,1,1,7.201328,80.67214,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
4,976,Uda Deltota,3. Renovation of natural drains - Kandura from Galaha town 1,1,1,7.197467,80.67455,750 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"75,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
5,976,Uda Deltota,4. Renovation of natural drains - Kandura from Galaha town 2,4,1,7.198085,80.671542,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
6,976,Uda Deltota,5. Renovation of natural drains - Kandura near Uda Deltota,4,1,7.2021111,80.673026,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
7,976,Uda Deltota,6. Renovation of natural drains - Galahathenna Oya,4,1,7.194172,80.685711,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
8,976,Uda Deltota,7. Renovation of natural drains - Kandura near Galahathenna Hospital,1,1,7.193506,80.676144,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,976,Uda Deltota,8. Renovation of natural drains - Kumarakanda Kandura,2,1,7.191318,80.676649,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
10,976,Uda Deltota,9. Renovation of natural drains - Kandura in Nutson Part,1,1,7.195666,80.678028,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
