"Table 2.2: Land use and land cover details of MWS-001","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","34.4","1.7%"
"2","Farms & Associated lands","19.0","1.0%"
"3","Forest lands","104.3","5.2%"
"4","Forest plantation","280.4","14.1%"
"5","Grass land","42.9","2.2%"
"6","Home garden","314.0","15.8%"
"7","Mining Sites","27.6","1.4%"
"8","Paddy","25.6","1.3%"
"9","Perennials","37.2","1.9%"
"10","Rocky area","22.3","1.1%"
"11","Scrub land","496.4","24.9%"
"12","Seasonal crops","26.7","1.3%"
"13","Tea","529.8","26.6%"
"14","Waste Management","0.7","0.0%"
"15","Water bodies","5.8","0.3%"
"16","Wetland","24.2","1.2%"
,"Total","1991.2","100.0%"
