"Table 5.38: Recommended training programs for Livelihood development and marketing","","","","",""
"X0","Target group","No of programs","Unit cost","Total Cost Rs","Agency"
"Paddy and field crop productivity improvement methods","Farmers","1","25000","25,000","DAD/DOA"
"Livestock productivity improvement methods","Farmers","1","30000","30,000","DAPH"
"Export agriculture productivity improvement","Farmers","1","40000","40,000","DEA"
"Value addition and product development","Farmers/Producers","1","75000","75,000","ITI/IDB/DEA"
"Post-harvest technology","Farmers/Collectors","1","50000","50,000","NIPHT"
"Quality assurance and standardization","Farmers/Producers","1","40000","40,000","DOA/DEA"
"Agri-technology and Equipment use","Producers/Collectors","1","50000","50,000","DOA/DEA/DAPH/ Suppliers"
"Environmentally friendly farming","Farmers","0","50000","0","DAD/DOA"
"Digital marketing and promotion","Farmers","1","100000","100,000","NEDA/SLTDA/SLTPB"
"Tour guide and hospitality management training","Farmers","1","60000","60,000","SLTPB"
"Training women on cottage-level industries","Women producers","0","40000","0","MoI - 'Vidatha'"
"Financial Management and Business Planning","Farmers/Producers","1","40000","40,000","DS Office"
"Total",,,,"510,000",
