"Table 3.2: Land use and land cover details of MWS-027","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Built up land","14.24","1.19%"
"2","Forest lands","95.30","7.93%"
"3","Forest plantation","115.37","9.61%"
"4","Grass land","5.16","0.43%"
"5","Home garden","255.37","21.26%"
"6","Paddy","111.86","9.31%"
"7","Rocky area","34.82","2.90%"
"8","Scrub land","72.23","6.01%"
"9","Seasonal crops","105.99","8.83%"
"10","Tea","381.43","31.76%"
"11","Water bodies","9.31","0.78%"
"12","Total","1201.07","100.0%"
