"Table 6.18: Unit rates of different reservation protection methods","","",""
"Item","Description","Location","Amount  Rs"
"1","Raising (by 0.60m) & improvements to the bund","Tank bund",
"1.1","Cutting trench/ canal by Excavator (120) and disposing earth beside -shall be used for refilling",,"193,024.00"
"1.2","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -for bund raising and US filling",,"1,271,949.12"
"1.3","Earth excavation from borrow area by Excavator and forming tank bund including transporting, placing  (150-225)mm  layers, watering, compacting and trimming  as per instructions (haulage up to 01 km) -for filling in DS eroded sections",,"353,208.96"
"1.4","Turfing to new earth including cutting, laying, pegging and watering",,"208,468.00"
"2","Gravelling the bund road","Bund road",
"2.1","Cutting and loading Earth/Gravel by  machinery. (Excavator 120)",,"10,857.60"
"2.2","Earth transport up to 1km.",,"3,057.60"
"2.3","Compaction by Roller (8-10)ton up to 2000m3 using vibrator machine.",,"1,076.40"
"3","Repairs to the Sluice","Tank",
"3.1","supplying & fixing   9\" dia. Cast iron gates & Hoist complete",,"122,506.00"
"3.2","Repairs to the sluice",,"50,000.00"
"4","Plastering the Toe Wall","Tank bund",
"3.1","1/2\" thk 1:3 cement motar plastering to prevent leakages in lining",,"64,888.89"
"5","Soil Conservation","Reservation",
"5.1","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",,"267,000.00"
"6","Miscellaneous",,"3,963.43"
,"Total",,"2,550,000.00"
