"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-002-1","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,
"1","1034","Wetakepotha","1. Development of natural drains - Kandura near the house of Mr. Raseem","1","7.172474","80.717046","170 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","17,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","17,000",,,,,,,,,,
"2","1037","Medakekila","1. Development of natural drains - Miniranwala Oya","5","7.17545","80.705897","1 km","Clearing and planting some trees along the banks (Aracanut, Kumbuk, Bamboo etc.) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Arakewela Janapada Kandura","1","7.179818","80.708588","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Establishing a retaining wall","1","7.172908","80.708957","5 m x 3 m","Retaining Wall (Concrete)","588,500","By the project","0.25 Years"
,,,"4. Establishing a retaining wall","4","7.172452","80.711725","7 m x 2 m","Retaining Wall (Masonary)","308,000","By the project","0.25 Years"
"Sub Total","1,016,500",,,,,,,,,,
"3","1039","Pattiyagama Udagama","1. Development of natural drains - Kandura near the house of Mr. Kumarathunga","4","7.158803","80.720361","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Lulekandura","1","7.160966","80.716848","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","210,000",,,,,,,,,,
"4","1040","Gonangoda","1. Development of natural drains - Kalugala Oya","1","7.157017","80.706613","750 m","Clearing and planting some trees along the banks (Aracanut, Kumbuk, Bamboo etc.) and other conservation practices","75,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Kandura near temple","1","7.156739","80.703891","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","5,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drains - Kandura near the house of Mr. Premasiri","1","7.156637","80.70406","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","5,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Development of natural drains - Thenna Elehi Kandura","3","7.15596","80.707358","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Building a drain","1","7.155333","80.708605","300 m","Concrete Drain","18,051,000","By the project","0.25 Years"
"Sub Total","18,166,000",,,,,,,,,,
"5","1041","Karagaskada North","1. Development of natural drains - Karagaskada Janapadaya Kandura","5, 2","7.1767067.177355","80.69905980.698206","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Kandura near Karagaskada School","1","7.175284","80.698999","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","70,000",,,,,,,,,,
"6","1042","Karagaskada South","1. Development of natural drains - Riverside Kandura","4","7.170504","80.703951","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Leele Weli Kandura","1","7.174968","80.70178","320 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","32,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drains - Kandura that seperates Karagaskada Northa and K. South","3","7.174663","80.699966","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Establishing a drain - Hajara Mawatha","5","7.172395","80.7034","300 m","Concrete Drain","18,051,000","By the project","0.25 Year"
