"Table 2.2: Land use and land cover details of MWS-002-1","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","0.4","0.0%"
"2","Builtup land","40.8","2.4%"
"3","Farms & Associated lands","4.6","0.3%"
"4","Forest lands","386.4","22.3%"
"5","Forest plantation","48.2","2.8%"
"6","Grass land","7.5","0.4%"
"7","Home garden","304.8","17.6%"
"8","Mining Sites","14.6","0.8%"
"9","Paddy","81.0","4.7%"
"10","Perennials","118.1","6.8%"
"11","Rocky area","16.5","1.0%"
"12","Scrub land","295.5","17.0%"
"13","Seasonal crops","141.7","8.2%"
"14","Tea","263.3","15.2%"
"15","Water bodies","7.4","0.4%"
"16","Wetland","4.6","0.3%"
,"Total","1735.3","100.0%"
