"Table 2.6: Age group categorization of the population of MWS-002-1 (GN-wise)","","","",""
"GND No","GND Name","X0 5","X6  14","X15 18"
"1034","Wetakepotha","126","162","80"
"1037","Medakekila","98","183","58"
"1039","Pattiyagama Udagama","62","101","54"
"1040","Gonangoda","291","571","448"
"1041","Karagaskada North","199","411","451"
"1042","Karagaskada South","282","349","117"
"1043","Greatweliya","120","287","389"
"1044","Pattiyagama Gabadagama South","33","54","79"
"1045","Pattiyagama Gabadagama North","114","245","845"
"1046","Kandegama","12","44","3"
"1047","Wadiyagoda","16","40","20"
,"Total","1353","2447","2544"
