"Table 2.5: GN-wise demographic details of the MWS-003","","","","",""
"GND.No","GN.Name","No..of.Houses","No..of.families","Female","Male"
"967","Ethulgama North","213","223","382","387"
"966","Ethulgama West","267","282","494","415"
"955","Galthenna","197","251","409","389"
"963","Godompitiya","177","197","324","316"
"952","Monarangala","466","548","949","878"
"962","Nehiniwela","195","219","325","306"
"964","Pooliyadda","112","114","266","186"
"951","Ratemulla","558","648","1618","1387"
"949","Uduwela Pallegama East","180","200","301","306"
"948","Uduwela Pallegama South","197","213","354","352"
"950","Uduwela Pallegama West","190","200","308","306"
"946","Uduwela Udagama East","349","452","708","644"
"947","Uduwela Udagama West","487","548","1474","1206"
"954","Uduwela Waththa Colony","425","471","848","797"
"953","Wathuliyadda","390","427","785","728"
"Total","Total","4403","4993","9545","8603"
