"Table 2.2: Land use and land cover details of MWS-037","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","1.84","0.10%"
"2","Chena","1.20","0.06%"
"3","Forest lands","920.99","47.60%"
"4","Forest plantation","6.30","0.33%"
"5","Grass land","46.35","2.40%"
"6","Home garden","561.88","29.04%"
"7","Paddy","147.61","7.63%"
"8","Rocky area","10.54","0.55%"
"9","Scrub land","112.24","5.80%"
"10","Seasonal crops","106.73","5.52%"
"11","Water bodies","19.22","0.99%"
,"Total","1934.91","100.00%"
