"Table 5.21: Brief description of legal provisions","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  LKR","Total Cost  LKR","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","518A","Kosgolla","Potential to add human waste - Kosgolla",,,"30",,,,,,,,
"2","518F","Demataarawa","No special issues reported",,,,,,,,,,,
"3","518E","Thunhitiyawa","No special issues reported",,,,,,,,,,,
"4","524C","Purankumbura","Potential to add human waste - Purankumbura Village",,,"5",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"5","524B","Goradiyagolla","No special issues reported",,,,,,,,,,,
"6","525B","Karandagolla","Potential to add human waste - Purankumbura Village",,,"10",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"7","523B","Wewathenna","Potential to add human waste - Purankumbura Village",,,"3",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"8","524A","Dambagolla","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"9","524D","Dabbare","No special issues reported",,,,,,,,,,,
"10","524","Denambure","No special issues reported",,,,,,,,,,,
"11","523A","Hegama","No special issues reported",,,,,,,,,,,
"12","518D","Yatimadura","Potential to add human waste - Private toilets considering the four parts of the village",,,"20",,,,,,,,
,,,"Potential to add human waste - Seva piyasa",,,"2",,,,,,,,
,,,"Potential to add human waste - Jethavana Rajamaha Vihara",,,"4",,,,,,,,
,,,"Potential to add human waste - Center for Early Childhood Development",,,"2",,,,,,,,
,,,"Potential to add human waste - Paddy Field in Yatimadhura GND",,,"6",,,,,,,,
,,,"Potential to add human waste - Fertilizer Distribution Center",,,"1",,,,,,,,
,,,"Improper disposal of domestic waste - Chetavana Rajamaha Temple, Yati Madura Primary School",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"13","525C","Kotambe","Potential to add human waste - Private toilets considering the four parts of the village",,,"1",,,,,,,,
"14","525A","Udagama","Potential to add human waste - Private toilets considering the four parts of the village",,,"5",,,,,,,,
,,,"Improper disposal of domestic waste - Chetavana Rajamaha Temple, Yati Madura Primary School",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"15","525","Kumbukwela","No special issues reported",,,,,,,,,,,
"16","523","Ambanella","Potential to add human waste - Private toilets considering the four parts of the village",,,"2",,,,,,,,
,,,"Improper disposal of domestic waste - Chetavana Rajamaha Temple, Yati Madura Primary School",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
,"Total",,,,,,,,,,,"350,000",,
