"Table 5.18: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  LKR"
"518A","1.Alakolella Karakora Gahaptana Canal","7.085787","80.92442","Existing Earthen canal","Site preparation & setting out","2,706,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"518A","2.Liyadda Kumbura Canal","7.095107","80.92384","About two acres above the canal are landslides. For that part 50 m of pipes have been used","Site preparation & setting out","3,718,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"518A","3.Uda sooriyagahalanda Canal","7.094817","80.92543","Existing Earthen canal","Site preparation & setting out","3,784,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"518A","4.Palla huriyagahalanda Canal","7.095317","80.92707","Existing Earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,974,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
"518F","1.Bodda ketiya Canal-1","7.062969","80.90578","Existing Concrete canal damaged 5 m","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","70,400"
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"518F","2.Bodda ketiya Canal -2","7.063419","80.90618","Existing Earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","2,095,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"518F","3.Udagalana Canal","7.063849","80.90872","Part of the existing canal has been concreted and the rest earthen canal","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,739,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"518F","4.Bandara Canal","7.061659","80.91527","Water Spills, Damages of the Canal","Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing","3,916,000"
,,,,,"Sawn timber form work including making, fixing & removing for concrete canals at ground level -05 uses",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"518F","5.Agantha Canal","7.063649","80.9121","Existing Earthen canal","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,596,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"518F","6. Badalawela Canal","7.065969","80.91078","Existing Earthen canal","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","2,596,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"518F","7.Narangas arawa Canal","7.065949","80.9118","Part of the existing canal has been concreted and the end earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,540,000"
,,,,,,
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,,
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,,
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"518F","8.Guru arawa Canal","7.064759","80.91139","Existing Earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,540,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"518E","Gedarawela Canal (Bakamure)","7.061319","80.92175","Part of the existing canal has been concreted and the end earthen canal","Scarifying existing rock or concrete surface","3,036,000"
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"Tidying up",
,,,,,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524C","Athsan kola Canal","7.07116","80.89421","Part of the existing canal has been concreted and balance part earthen canal","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","3,558,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"12.5mm thick, rough ct.plaster in 1:3 cement sand mortar semi roughfinish ((UR55)",
,,,,,"Construction of 3.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524C","Kaththir Arama canal","7.07065","80.89527","Existing Earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","907,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524C","Kaththir Arama anicut","7.07224","80.89506","Existing concrete wall should be raise","Construction of 0.3 m high x 5.0m long Weir across streamexcluding abutments and stop planks","1,364,000"
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
,,,,,"Construction of trough",
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Spreading, Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Machine transport",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"524C","Purankumbura canal","7.07045","80.89914","Existing Earthen canal","Site preparation & setting out","2,508,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524C","Thebugolla canal","7.07185","80.90001","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,952,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524C","Thebugolla uda canal","7.0726","80.8997","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,677,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524C","Ruppe canal anicut","7.07227","80.89683","Existing concrete wall is in dilapidated condition","Site preparation & setting out","1,507,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
