"Table 5.2: Key ON-SITE activties proposed for soil and water conservation in MWS-035 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","518A","Kosgolla","1. Soil conservation practices - Community Hall Ground (40°-60°)","5","7.092447","80.924451","0.1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","25,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Udaliyadda Village (40°-60°)","4","7.092217","80.921771","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Thalava Village (40°-60°)","3","7.089007","80.923031","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Diyamolliya Village (40°-50°)","4","7.087277","80.920212","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Meeriyagaha Ulpatha (40°-50°)","2","7.088587","80.919462","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Alakola Ella (60°-70°)","4","7.086947","80.924671","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","8,775,000",,,,,,,,,,,
"2","518F","Demataarawa","1. Soil conservation practices) (50°-60°)","5","7.059489","80.914282","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (60°-70°)","4","7.060669","80.914002","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (40°-50°)","3","7.064209","80.912492","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices (50°-70°)","1","7.065879","80.914522","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices (50°-60°)","2","7.065869","80.913082","13 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,250,000","Labour and other basic services by the Local community","1 Year"
,,,"6. Soil conservation practices (50°-70°)","3","7.064379","80.915682","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices (50°-60°)","3","7.064359","80.915632","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"8. Soil conservation practices (50°-60°)","1","7.060879","80.914012","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","8,937,500",,,,,,,,,,,
"3","518E","Thunhitiyawa","1. Soil conservation practices) - Iththewalahinna (40°-60°)","4","7.063859","80.918422","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Bulugashinna (50°-60°)","4","7.063859","80.918422","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","5,000,000",,,,,,,,,,,
"4","524C","Purankumbura","1. Soil conservation practices) - Bulathwelpatha (70°-80°)","5","7.07292","80.894770","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","2,000,000",,,,,,,,,,,
