"Table 2.5: GN-wise demographic details of the MWS-035","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"518F","Demataarawa","136","166","281","286"
"518E","Thunhitiyawa","173","217","315","320"
"524C","Purankumbura","122","147","224","206"
"524B","Goradiyagolla","178","201","390","327"
"525B","Karandagolla","207","234","339","349"
"523B","Wewathenna","165","225","335","342"
"524A","Dambagolla","127","163","244","247"
"524D","Dabbare","165","218","378","368"
"524","Denambure","115","130","207","184"
"523A","Hegama","91","135","184","188"
"518D","Yatimadura","210","252","377","388"
"518A","Kosgolla","190","236","375","345"
"525C","Kotambe","156","206","302","307"
"525A","Udagama","146","153","214","228"
"525","Kumbukwela","77","100","148","155"
"523","Ambanella","165","214","330","320"
,"Total","2423","2997","4643","4560"
