"Table 3.2: Land use and land cover details of MWS-024","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Built up land","9.21","1.03%"
"2","Forest lands","193.07","21.65%"
"3","Forest plantation","148.77","16.69%"
"4","Grass land","4.48","0.50%"
"5","Home garden","9.62","1.08%"
"6","Rocky area","11.22","1.26%"
"7","Scrub land","17.83","2.00%"
"8","Seasonal crops","206.14","23.12%"
"9","Tea","286.83","32.17%"
"10","Waste Management","0.50","0.06%"
"11","Water bodies","3.98","0.45%"
"12","Total","891.63","1.00"
