"Table 5.7: Salient details of Mi Aththa Wewa and Bodhigolla Wewa in MWS-014","",""
"Tank Name","Mi Aththa Wewa","Bodhigolla Wewa"
"GN","Hilpenkandura","Hakuruthale"
"MWS","14","14"
"DS","Hanguranketha","Hanguranketha"
"District","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD"
"Construction","<Null>","<Null>"
"Location (Lat, Lon)","7.1949 E","7.19791 E"
"Agro-Ecological zone","80.8077 N","80.79408 N"
"Water Surface Area (approx.) (ha)","0.05","0.05"
"Tank capacity (m3)",,
"Catchment Area (gross) (km2)","<Null>","<Null>"
"Total command area (ha)","<Null>","<Null>"
"Farm Organisation","-","10"
"F.O. registration number","No",
"Reservations are available or not","<Null>","<Null>"
"Reservations are marked or not","Yes","Yes"
,"No","No"
"Bund","<Null>","Earthen + Upstream Concrete"
"Bund Length (m)","35","35"
"Top width (m)","1.5","<Null>"
"Visible bund height (m)","3","4"
"US & DS slopes (h/b)","1:02","DS 1:1"
"Availability of rip rap","-","Yes"
,"<Null>","<Null>"
"Spillway","RB end","LB end"
"Station (km+m)","Natural+ Cascaded","Natural + Cascaded"
"Type",,
"Length (m)","2","2.5"
"Observed Afflux (m)","<Null>","0.3"
"Duration of spilling (days)","Perennial","90"
,,
"Sluices",,
"No of Sluices (nos)","1","1"
"Station/s (km+m)","<Null>","<Null>"
"Type/s","HW","HW"
"Barrel size/s (mm)","225","150"
"Command area of the sluice (ha)","-","10"
,,
"Observations / Damages","Sluice gate and Hoisting mechanism are unserviceable. Tank siltation over the years","Tank siltation over the years. Upstream land denudation"
"Recommendation","1. Provide 500 sqm reservation and plant dense randomly mixed potential natural vegetation, agave, areca & vetiver, Kumbuk, Mee etc, plantation along the perimeter with few varieties of fruits and spices.
2.Desilting and placing part of excavated material as a loading berm in downstream side of the tank.
3. Replace 225mm Dia sluice and hoisting mechanism to complete.","1.Provide a Vetiver grass edge along the HFL boundary /road /track

2. Provide 2000 sqm reservation and plant dense randomly mixed potential natural vegetation, agave, areca & vetiver plantation along the perimeter with few varieties of fruits and spices.
3.Excavate about 20m x 15m x 5m depth in RB side towards upstream to enhance the tank capacity 
4.Spring above the tank should not be disturbed."
