"Table 2.2: Land use and land cover details of MWS-014","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","9.49","0.5%"
"2","Forest lands","682.75","35.6%"
"3","Forest plantation","11.51","0.6%"
"4","Grass land","110.59","5.8%"
"5","Home garden","414.38","21.6%"
"6","Paddy","88.13","4.6%"
"7","Rocky area","16.92","0.9%"
"8","Scrub land","158.63","8.3%"
"9","Seasonal crops","332.79","17.3%"
"10","Tea","5.04","0.3%"
"11","Water bodies","80.88","4.2%"
"12","Wetland","7.11","0.4%"
,"Total","1918.22","100.00%"
