"Table 5.24: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND No","Scheme","Problem to be addressed   Recommendation","N","E","Estimated Cost"
"485/A","Matiwala minor stream 1","Moderate soil erosion of land on both sides (100m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","7.213649","80.788785","139100"
"485/A","Matiwala minor stream 2","Moderate soil erosion of land on both sides (200m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2.","7.213666","80.7888","208000"
"485/B","Minor stream near Mr. Robert's house","Moderate soil erosion of land on both sides (200m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2.","7.221433","80.787081","208000"
"485/B","Minor stream near Podi Appu's house","Moderate soil erosion of land on both sides (100m length). Recommend 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.","7.222937","80.787257","139100"
"485/B","Demini Ara minor stream","Soil erosion of land on both sides (over 2.5 km length). Recommend 1. Construct (2mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.","7.222477","80.788987","928200"
"485/B","Minor stream across the Badulu road","Moderate soil erosion of embankments (about 50m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.","7.221305","80.7887","35100"
"485/B","Minor sub stream flows to Demini Arawa","Soil erosion of land on both sides (about 1.5 km length). Recommend 1. Construct (2mx2mx1m) four SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.","7.218759","80.787647","1006200"
"485/B","Minor stream flows from Bogala Kanda","Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (2mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees / Kithul/ Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2.","7.221648","80.785513","494000"
"488 /A","Bodhigolla minor stream 1","Soil erosion of land on both sides (about 2.5km length). Recommendation 
1. Construct (2mx2mx1m) four SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.
3. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.","7.199153","80.793559","1353300"
"488 /A","Bodhigolla minor stream 2","Soil erosion of land on both sides (about 2km length). Recommend 1. Construct (2mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.","7.19843","80.793674","1275300"
"488 /A","Hakuruthale minor stream","Soil erosion of embankments (about 1.5km length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1500m","7.199192","80.800261","526500"
"488/B","Hilpan minor stream","Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) two SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.","7.18815","80.80755","850200"
"488/B","Murunga watta minor stream","Soil erosion of land on both sides (about 1.5km length). Recommend 1. Construct (3mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.","7.195121","80.812566","1392300"
