"ID","MWS","Group","Database","Layer","Name","provider","Level","Geocode","Type","Description","geojson","Year"
1,"MWS-032","Proposal","General Description","Table 2.1: Administrative details of MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_2_1.csv",""
2,"MWS-032","Proposal","Land Cover /Land Use Types and Data","Table 2.2: Land use and land cover details of MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_2_2.csv",""
3,"MWS-032","Proposal","Climate Details in MWS-032","Table 2.3: Monthly average rainfall details of the MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_2_3.csv",""
4,"MWS-032","Proposal","Climate Details in MWS-032","Table 2.4: Monthly average temperature details of the MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_2_4.csv",""
5,"MWS-032","Proposal","Population Demographics","Table 2.5: GN-wise demographic details of the MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_2_5.csv",""
6,"MWS-032","Proposal","Population Demographics","Table 2.6: Age group categorization of the population of MWS-032 (GN-wise)","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_2_6.csv",""
7,"MWS-032","Proposal","Population Demographics","Table 2.7: Occupational details of the community of MWS-032 (GN-wise)","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_2_7.csv",""
8,"MWS-032","Proposal","Soil and Water Conservation","Table 5.1: Distribution of soil erosion hazard classes in MWS-032.","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_1.csv",""
9,"MWS-032","Proposal","Soil and Water Conservation","Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-032 belongs to Nildandahinna DS Division","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_2.csv",""
10,"MWS-032","Proposal","Soil and Water Conservation","Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-032 belongs to Nildandahinna DS Division","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_3.csv",""
11,"MWS-032","Proposal","Soil and Water Conservation","Table 5.4: Details of Reported landslides in MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_4.csv",""
12,"MWS-032","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 5.5: Details of minor tanks available in MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_5.csv",""
13,"MWS-032","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 5.6: Details Salient features of minor tanks in MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_6.csv",""
14,"MWS-032","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 5.7: Estimate for rehabilitation of  Pussalamada tank Pussalamada tank","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_7.csv",""
15,"MWS-032","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 5.8: Estimate for rehabilitation of Udahena tank","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_8.csv",""
16,"MWS-032","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 5.9: Summary of cost of rehabilitation of tanks located in MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_9.csv",""
17,"MWS-032","Proposal","Restoration of Existing or Identification of New Minor Tanks","Table 5.10: Implementation schedule of four tanks in MWS- 032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_10.csv",""
18,"MWS-032","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.11: Water source protection estimates","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_11.csv",""
19,"MWS-032","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.12: Domestic water supply estimates","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_12.csv",""
20,"MWS-032","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.13: Cost Estimate for Minor Irrigation-Related Recommendations","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_13.csv",""
21,"MWS-032","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.14: Time frame for implementing domestic water and water source protection","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_14.csv",""
22,"MWS-032","Proposal","Water Resource Management for Drinking Water Supply and Irrigation","Table 5.15: Time frame for implementation of minor irrigation proposals","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_15.csv",""
23,"MWS-032","Proposal","Water Quality Improvement","Table 5.16: Details related to water pollution in MWS-032 belongs to the Nildandahinna DS Division","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_16.csv",""
24,"MWS-032","Proposal","Conservation of Stream Reservations","Table 5.17: Brief description of legal provisions","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_17.csv",""
25,"MWS-032","Proposal","Conservation of Stream Reservations","Table 5.18: Cost estimate of stream protection related proposals with locations","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_18.csv",""
26,"MWS-032","Proposal","Conservation of Stream Reservations","Table 5.19: Time frame for implementing stream reservation activities","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_19.csv",""
27,"MWS-032","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 5.20: Packaging and transport of agricultural produce","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_20.csv",""
28,"MWS-032","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 5.21: Potential for tourism development and promotion in the area","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_21.csv",""
29,"MWS-032","Proposal","Product and Entrepreneurship Development with Marketing Support and Tourism Development","Table 5.22: Cost estimates and Time frame","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_22.csv",""
30,"MWS-032","Proposal","Forest Management","Table 5.23: Vegetation types in the MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_23.csv",""
31,"MWS-032","Proposal","Forest Management","Table 5.24: Dominant species found in the natural vegetation in Upper Mahaweli Watershed>700m altitude","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_24.csv",""
32,"MWS-032","Proposal","Forest Management","Table 5.25: Mahaweli Watershed<700m altitude.","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_25.csv",""
33,"MWS-032","Proposal","Forest Management","Table 5.26: Some characteristic species recorded in MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_26.csv",""
34,"MWS-032","Proposal","Forest Management","Table 5.27: highlights the severity of degradation factors within key forest reserves.","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_27.csv",""
35,"MWS-032","Proposal","Forest Management","Table 5.28: Forest reserves and their protection status in MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_28.csv",""
36,"MWS-032","Proposal","Forest Management","Table 5.29: Forest Plantation in the MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_29.csv",""
37,"MWS-032","Proposal","Forest Management","Table 5.30: Causes of forest fires in the MWS-032","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_032/Table_5_30.csv",""
