"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-032 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","528F","Mathatilla","1. Soil conservation practices - The Lands above the canal (RHS) (50°-80°)","4","7.03429","80.89878","4 ha","Live fencing/SALT and/or stone terracing/ lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - The Lands a below the canal (RHS) (50°-80°)","3","7.0344","80.89863","1 ha","Live fencing/SALT and/or stone terracing/ lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Dimbulgahapathana Lands (50°-75°)","4","7.03075","80.90533","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,750,000",,,,,,,,,,,
"2","528B","Palugama","1. Soil conservation practices - Palugama (40˚-50˚)",,,,"20 ha","Live fencing/SALT and/ or stone terracing/ lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","5,000,000",,,,,,,,,,,
"3","531","Ambaliyadda","1. Soil conservation practices - Thennawaththa (50˚-70˚)","4","7.01967","80.90103","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Ambaliyadda (50˚-70˚)","-",,,"4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,000,000",,,,,,,,,,,
"4","531A","Embulampaha","1. Soil conservation practices - Temple (50˚-60˚)","2","7.02756","80.90972","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Embulampaha (50˚-70˚)","3","7.02444","80.91043","18 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","4,875,000",,,,,,,,,,,
"5","528","Roopaha","1. Soil conservation practices - Ihalagama (50˚-75˚)","1","7.04095","80.90347","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Pahalagama (50˚-75˚)","4","7.03625","80.89609","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,000,000",,,,,,,,,,,
"6","528 E","Roopaha East","1. Soil conservation practices - Home gradens (70°)","4","7.02917","80.91264","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,750,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Kollal pitiya Lands (70°)","5","7.04058","80.91488","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,250,000",,,,,,,,,,,
"7","528A","Pallewela","1. Soil conservation practices - Pallewela  (50˚-75˚)","1,4, 1","7.043122, 7.044232, 7.044327","80.90704, 80.907563, 80.907807","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community/ Shramadana","1.5 Years"
"Sub Total","5,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"29,875,000",,
