"Table 5.13: Cost Estimate for Minor Irrigation-Related Recommendations","","","","","",""
"GND No","X Name of the Irrigation Syatem","N","E","Observation","Description","Amount  LKR"
"528/F","Keenagolla Canal","7.03413","80.89801","The existing canal has been concreted 1000m length(height=0.45m, width=0.6m, thickness 0.125m). The rest of the canal is an earthen canal.  165 Acres of paddy is cultivated from this canal. At present farmers used canal. The canal area is very dangerous, and this section might be landslide again.","Construction of 2.0m high 1:3:6 (40mm) cement concrete Retaining Wall 
Miscellaneous
Contingencies 10%","792,000"
"528/F","Naaya kandura canal","7.03166","80.90691","At present earthen canals.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop
Miscellaneous
Contingencies 10%","2,321,000"
"528/F","Naaya kandura canal","7.03166","80.90691","Existing anicut constructed stone and Soil","Construction of 0.9 m high Weir across stream excluding abutments and stop planks
Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 
75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.
Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate excludes the transport of materials)
Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","979,000"
"528/F","Gama Meda canal (tributaries of Bogahapura Canal)","7.03217","80.904291","This canal is fed by Bogahapura canal. At present part is concreted and rest is an earthen canal. 20 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Miscellaneous
Contingencies 10%","632,500"
"528/F","Udaha kumbura canal (tributaries of Bogahapura Canal)","7.03073","80.90484","This canal is fed by Bogahapura canal. The existing canal has been concreted 210m length(height=0.3m, width=0.45m, thickness 0.125m). The rest of the canal is an earthen canal. 20 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","506,000"
"528 B","Debaddapitiya Amuna and  canal","7.043877","80.902284","Existing Earthen canal,A anicut of Construct stone and earth","Construction of 0.6 m high Weir across stream excluding abutments and stop planks
Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 
75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar. Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate excludes the transport of materials)","819,500"
"528 B","Badullagaha Henakumbura Ela","7.044352","80.90026","Existing Earthen canal,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking. Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m. Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","770,000"
"528 B","Kithulpagamuwa Ela","7.044317","80.898692","Part of the existing canal has been concreted and balance part earthen canal","Construction of 3.0m high 1:3:6 (40mm) cement concrete Retaining Wall 
Construction of 5.0m long Box Culvert (0.60m x 0.60m)","2,843,500"
"531","Udakumbure canal","7.01741","80.90344","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop
Stream / canal reservation protection by earthfilling of strip   of 1.5m to 2m wide  and average Depth of 0.5m","1,677,500"
"531","Kandekumbure canal","7.01578","80.90102","Anicut and canal are Constructed of stone and earth. The total length of the canal is 1500m. 15 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,645,500"
