"Table 3.2: Land use and land cover details of MWS-029","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Built up land","9.33","0.56%"
"2","Chena","46.72","2.81%"
"3","Forest lands","741.92","44.61%"
"4","Forest plantation","61.67","3.71%"
"5","Grass land","16.79","1.01%"
"6","Home garden","317.09","19.07%"
"7","Paddy","180.03","10.83%"
"8","Rocky area","19.37","1.17%"
"9","Scrub land","97.28","5.85%"
"10","Seasonal crops","136.27","8.19%"
"11","Water bodies","36.53","2.20%"
"12","Total","1662.98","100.0%"
