"Table 3.6: Age group categorization of the population of MWS-029 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6  17","X18 40","X40 60","X60 70","Above 70 years"
"513E","Mailagasthenna","29","81","148","83","44","25"
"514","Kumbalgamuwa","80","315","362","381","0","67"
"513","Pannala","33","116","268","246","43","52"
"514E","Deliwala North","25","80","136","128","77","56"
"513C","Wewakele","12","94","136","108","30","42"
"513A","Serupitiya","103","252","285","303","50","37"
"513D","Ihala Pannala","19","67","86","96","42","35"
,"Total","301","1005","1421","1345","286","314"
