"Table 6.16: Estimate of domestic water supply related activities","","","","","",""
"GND No","Location","N","E","Observation","Description","Amount  Rs"
"513","Demodara Anicut","7.163509","80.84915","Stones have been placed across pannal oya as a wall.","Construction of 16.0m (12.0m across river + 2m x 2 along banks)long x 1.2m height anicut with 04 nos x 0.9m x 1.2m openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 12\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","635,000.00"
"513","Demodara Canal","7.163843","80.84854","An earthen canal, total length of canal is 1500m. There are eight locations identified for concreting and its total length is about 600.0m, Command area 12.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","2,515,000.00"
"513","Mullekumbura Canal","7.143737","80.85563","The total length of the canal is 500m, Part of canal section are concreted, Another part of canal section should be concreted, Command area 12.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.4m  wide  and 0.5m high canal -single bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceCutting and loading Earth/Gravel by  machinery. (Excavator 120)Earth transport up to 1km.Compaction by Roller (20 ton) over 2000m3  using vibrator machineVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Miscellaneous","2,360,000.00"
,,,,,,
,,,,,,
"513","Koralaya Kumbura Anicut","7.133389","80.85663","Stones have been placed across pannal oya as a wall.","Construction of 16.0m (12.0m across river + 2m x 2 along banks)long x 1.2m height anicut with 04 nos x 0.9m x 1.2m openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 12\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","635,000.00"
"513","Koralaya Canal","7.133847","80.85663","The total length of the canal is 750m, Part of canal section are concreted, Another part of canal section should be concreted, Command area 13.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.4m  wide  and 0.5m high canal -single bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceMiscellaneous","980,000.00"
"513","Arambekumbura Anicut","7.140064","80.8569","Stones have been placed across pannal oya as a wall.","Construction of 8.0m long x 1.2m height anicut with 01 nos x 0.9m x 1.2m openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","530,000.00"
"513","Arambekumbura Canal","7.140499","80.85707","The 400m long canal has been constructed with RRM wall, The constructed canal is completely dilapidated.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","2,330,000.00"
"513","Udukumbura Anicut","7.13296","80.85104","Stones have been placed across pannal oya as a wall.","Construction of 10.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","620,000.00"
"513","Udukumbura Canal","7.133264","80.85126","The total length of the canal is 600m, Part of canal section are concreted, Another part of canal section should be concreted, Command area 7.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,115,000.00"
"513","Pusselle Anicut","7.154446","80.84918","A concrete wall 15.0m long, 0.3m wide and 1.5m high has been constructed across Pannal Oya as anicut an the additional 15.0m long section is made of earthen embankment.","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","280,000.00"
"513 A","Gorakgaha Kandura - Aswadduma Ela","7.138366","80.84911","Existing earthen canal, Command area 5.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,090,000.00"
