"Table 6.4: Salient features of minor tanks in MWS-029","","","",""
"Tank Name","Wewakele tank","Boraluwela tank","Mahawewa tank","Kudawewa tank"
"GN","Wewakele","Deliwala North","Kumbalgama","Kumbalgama"
"MWS","MWS-029","MWS-029","MWS-029","MWS-029"
"DS","Walapane","Walapane","Walapane","Walapane"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Custodianship","DAD","DAD","DAD","DAD"
"Year of Construction Kov",,"1994",,
"Location (Lat)","7.125171","7.12959","7.10963","7.11255"
"Location (Lon)","80.84943","80.85756","80.85179","80.85090"
"Hydrological zone",,,,
"Water Surface Area (approx.) (ha)","0.5",,"0.8","0.4"
"Catchment Area (gross) (km2)",,,,
"Catchment Area (net) (km2)",,,,
"Total command area (ha)",,,,
"Farmer Organization",,,,
"F.O. registration number",,,,
"Reservations are available or not",,,,
"Reservations are marked or not",,,,
"Bund","Earthen","Concrete","Earthen","Earthen"
"Bund Length (m)","70","15","85","50"
"Top width (m)","3","0.6","7","3"
"Visible bund height (m)","6","2.5",,
"US & DS slopes (h/b)",,,,
"Availability of rip rap",,,,
"Spillway",,,,
"Station (km+m)",,,,
"Type","MG","No spill","Unable to find","No spill"
"Length (m)",,,,
"Observed Afflux (m)",,,,
"Duration of spilling (days)",,,,
"Sluice",,,,
"No of Sluices (nos)",,"No sluice","Unable to find","No sluice"
"Station/s (km+m)",,,,
"Type/s",,,,
"Barrel size/s (mm)","225",,,
"command area of the sluice (ha)",,,,
"Rectification Details","Desilting, Rehabilitation of Tank Bund and Construction of Rip-rap","Removal of silt should be done manually. Concrete bund should be repaired. Beneficiaries say that after the rehabilitation of this tank, water can be obtained for paddy cultivation of about 20. acres.","Rehabilitation of tank bund, Desilting of Tank Bed, Construction of New Sluice and spill and Inland fish farming","Rehabilitation of tank bund, Desilting of Tank Bed, Construction of New Sluice and spill"
