"Table 6.30: Vegetation types in the MWS-025","","","","","",""
"GND No","Location","N","E","Observation","Description","Amount  Rs"
"504","Mahapihilla Kandura","7.08271","80.80379","Stone terraces have been built along the left bank of stream, About 110.0m long section of stone terraces is dilapidated.","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","497,000.00"
"504","Wetakepatha","7.0808","80.80415","The concrete wall built on the left side of stream should be extended by another 50.0m","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","473,500.00"
"504C","Kurundu Oya","7.07283","80.813972","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance","134,116.00"
,,,,,,
"505","Goraka Maditta Kandura 2","7.093644","80.804008","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance","106,037.00"
,,,,,,
"505","Devale Kandura 1","7.096433","80.803774","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance","106,037.00"
,,,,,,
"505","Devale Kandura 2","7.096874","80.804158","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance","94,287.00"
,,,,,,
