"Table 6.26: Time frame for implementing stream reservation related activities","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","Number of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","504","Wetakepatha","Improper disposal of waste - Wetakepatha",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","504C","Alakolawewa","No special issues reported",,,,,,,,,,,
"3","505","Napatawela","Potential to adding human waste - E.P.H. Laysa and I.G. Nawarathna Banda",,,"2",,,,,,,,
,,,"Improper disposal of waste - Darada Ela and Vaduva Ela",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"4","505A","Padiyapelella","Improper disposal of waste - Padiyapelella",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"5","505B","Ambagaspitiya","No special issues reported",,,,,,,,,,,
"6","505C","Galabada","Potential to adding human waste - Narangaha Maditta",,,"20",,,,,,,,
,,,"Improper disposal of waste - Galabada",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"7","505D","Landupita","No special issues reported",,,,,,,,,,,
"8","505E","Wetekegama","Potential to adding human waste - Egoda Gedara",,,"1",,,,,,,,
,,,"Improper disposal of waste - Wetekegama",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"9","506","Munwatta","Potential to adding human waste - Kuda Oya - Munwatta",,,"3",,,,,,,,
"10","506A","Unagolla","Potential to adding human waste - Alawatta",,,"5",,,,,,,,
,,,"Improper disposal of waste - Unagolla",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"11","507","Ukuthule","No special issues reported",,,,,,,,,,,
"12","507A","Ukuthule East","Potential to adding human waste - Seethawa Estate Line 1",,,"10",,,,,,,,
,,,"Potential to adding human waste - Seethawa Estate Line 2",,,"15",,,,,,,,
,,,"Improper disposal of waste - Ukuthule East",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"13","507B","Yatiwella","Improper disposal of waste - Ukuthule East",,,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"Grand Total","400,000.00",,,,,,,,,,,,,
