"Table 3.2: Land use and land cover details of MWS-025","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Built-up land","6.82","0.38%"
"2","Forest lands","71.60","3.99%"
"3","Forest plantation","107.13","5.96%"
"4","Grassland","63.13","3.51%"
"5","Home garden","597.35","33.25%"
"6","Paddy","309.86","17.25%"
"7","Rocky area","2.20","0.12%"
"8","Scrub land","71.66","3.99%"
"9","Seasonal crops","192.17","10.70%"
"10","Tea","355.55","19.79%"
"11","Water bodies","17.55","0.98%"
"12","Wetland","1.46","0.08%"
,"Total","1796.49","1.00"
