"Table 3.6: Age group categorization of the population of MWS-025 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6 17","X18 40","X40 60","X60 70","Above 70 years"
"505","Napatawela","26","72","129","109","64","47"
"505E","Wetekegama","32","42","104","87","56","39"
"505B","Ambagaspitiya","37","128","203","187","67","50"
"507B","Yatiwella","25","79","142","119","49","39"
"505A","Padiyapelella","32","186","183","114","48","23"
"506A","Unagolla","74","163","229","285","49","40"
"504","Wetakepatha","35","117","230","198","80","62"
"506","Munwatta","47","140","147","166","107","61"
"505D","Landupita","29","103","186","139","61","44"
"505C","Galabada","112","140","188","359","24","23"
"507","Ukuthule","29","137","215","161","63","36"
"507A","Ukuthule East","65","157","329","236","99","67"
,"Total","543","1464","2285","2160","767","531"
