"Table 2.2: Land use and land cover details of MWS-008-1","","",""
"No.","Land.cover","Area","NA."
"","","ha","%"
"1","Builtup land","1.2","0.1%"
"2","Chena","80.2","7.4%"
"3","Forest lands","176.5","16.3%"
"4","Grass land","13.8","1.3%"
"5","Home garden","327.2","30.3%"
"6","Mining Sites","7.9","0.7%"
"7","Paddy","98.4","9.1%"
"8","Perennials","74.6","6.9%"
"9","Rocky area","6.5","0.6%"
"10","Scrub land","29.4","2.7%"
"11","Seasonal crops","165.6","15.3%"
"12","Tea","1.5","0.1%"
"13","Water bodies","98.5","9.1%"
"14","Wetland","0.3","0.0%"
"","Total","1081.6","100.0%"
