"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-008-1","","","","","","","","","","","",""
"No","GND No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,,
"1","1003","Udamailapitiya South","1. Soil conservation practices - Alawaththaketiya (75°)","3","7.213243","80.757550","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,,"1","7.214036","80.758544","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000",,
,,,"2. Soil conservation practices - Millapokuna (40°)","5","7.214648","80.759287","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Alawaththaketiya (75°)","1","7.212947","80.755531","26 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"4. Soil conservation practices - Keppetiyawa (70°)","4","7.221450","80.757904","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","11,750,000",,,,,,,,,,,
"2","1005","Patha Mailapitiya North","1. Soil conservation practices - No. 4 (40 - 65°)","5","7.24509","80.75298","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,,"1","7.248677","80.750718","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Galliinda (30°","3","7.237892","80.750297","9 ha","Lock and spills","400 m-1","3,600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Other (35°)","4","7.234364","80.746473","2.25 ha","Lock and spills","400 m-1","900,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","9,500,000",,,,,,,,,,,
"3","1019","Poththagoda","1. Soil conservation practices (45°)","1","7.196680","80.747564","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,250,000",,,,,,,,,,,
"4","1020","Neelawala","1. Soil conservation practices - Pihathalawa (60 - 80°)","1","7.187839","80.739298","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,,"5","7.188602","80.739591","2.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","562,500","Labour and other basic services by the Local community","0.25 Years"
,,,,"1","7.189273","80.739657","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,,"5","7.189699","80.73958","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Pihathalawa Tigolgoda (65 - 70°)","5","7.191497","80.740229","17 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,250,000","Labour and other basic services by the Local community","1.5 Years"
,,,,"5","7.192989","80.74096","17 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,250,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Neelawala Polwaththa (35°)","1","7.190304","80.745855","5 ha","Lock and spills","400 m-1","2,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Ethpanthiya Waththa (30°)","1","7.190957","80.748479","2 ha","Lock and spills","400 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","15,987,500",,,,,,,,,,,
"5","1021","Kahambiliyawa","1. Soil conservation practices - Rajasingha Nursery School (70°)","3","7.18981","80.757265","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Area above the Hunuwatawala Ela (30°)","1","7.191268","80.75797","1.25 ha","Lock and spills","400 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,,,,,,"Planting trees",,,,
,,,"3. Soil conservation practices - Kahambiliyawa (30°)","2","7.186334","80.752447","10 ha","Lock and spills","400 m-1","4,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation in Kurudiya Forest Reserve","2","7.188341","80759748","0.5 ha","Planting trees",,"50,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
"Sub Total","4,675,000",,,,,,,,,,,
"6","1024","Unuvinna East","1. Soil conservation practices - Magahamadiththa (50°)","4","7.208601","80.761755","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Ele Mukalana (70°)","1","7.205088","80.769034","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,750,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Pallema Oya (70°)","4","7.210367","80.767393","18 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,500,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","9,250,000",,,,,,,,,,,
"7","1025","Unuvinna West","1. Soil conservation practices - Munamale (60°)","4","7.200566","80.756105","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Unuvinna School (65°)","5","7.196817","80.759989","0.75 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","187,500","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Hunukotawela (80°)","5","7.193058","80.764443","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","687,500",,,,,,,,,,,
,,,,,,,,"Grand Total",,"53,100,000",,
