ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year,Title,Abstract,Data Type,Keywords,Geographic Extent,Scale,Temporal Coverage,Publication Date,Version,Data Provider,Contact Name,Email Address,Phone Number,Address,Data Source,Accuracy,Limitations,Resolution,Coordinate System,Datum,Vertical Datum,Access Constraints,Use Constraints,Data Format,File Size,Download Link,Process Steps,Metadata Creator,Metadata Date,Metadata Standard,Related Publications,Supplementary Info
1,MWS-003,Base Layers,Administration,District Boundary,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/Districts/EXD_01_ADM_ DIS_KANDY _poly_v1.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MWS-003,Base Layers,Administration,DSD Boundary,,SD,Raw,Yes,Vector,,https://docs.google.com/spreadsheets/d/1j_3yvrEsH5C0DnXzB-6eZzT0OWNMf-7Q/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_DSD_PATHAHEWAHETA.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MWS-003,Base Layers,Administration,GN Boundary,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/GND/MWS_003.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MWS-003,Base Layers,Land cover,Land cover,,LUPPD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/04_LND/LND_LULC/LND_LULC_MWS_003.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MWS-003,Base Layers,Reservation,Environmental protection area,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_TF/RSV_FRC_TF_MWS_003.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MWS-003,Base Layers,Reservation,Reserved forest,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_RF/RSV_FRC_RF_UMW.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MWS-003,Base Layers,Reservation,Conservation forest,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_CNF/RSV_FRC_CNF_UMW.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MWS-003,Base Layers,Reservation,Wild life boundary,,DWC,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_DWC/RSV_DWC_UMW.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MWS-003,Detail Layers,Topography,Spote height,,MASL,Raw,Yes,Vector,,google drive,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MWS-003,Detail Layers,Topography,Contour,,MASL,Raw,Yes,Vector,,google drive,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
