"Table 6.41: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS  Institution","Project Con  RS","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program (For MWS-002-2, 009, 010, 011, 012, 013, 014, 018-2  and 020-2)","Budget was allocated under MWS-002-2 (Hanguranketha)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level) (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/TBD",,,,,
"3","Water Management Training for the selected Development officer of DAD in Nuwara Eliya District.","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs of  Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","NRMC+ DEA",,,,,
"5","Good Practices of Agrochemical Application Training for ARPA and EDOs of Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC/University",,,,,
"6","Climate Change Adaptation  Awareness  for MWMC (including Technical committee members)","1","1","18","61,920","2,500","59,420","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers  of Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing  Awareness for EDO of Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","NWS&DB/NRMC",,,,,
"9","Forest Fire Prevention and Control Training for  Selected officers of Forest Department in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for  selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
