"Table 5.17: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"674","Pahalawaththa Well 2","7.318450","80.704880","A square well, 2.0m long and 2.0m wide, is constructed. The wall of the well is in a dilapidated condition. At the ground level, the well water seeps out through the wall and out side water seeps into the well. About 10 families use the water for bathing.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavementMiscellaneousContingencies (10%)","52,800"
,,,,,,
"674","Madugasthanna Common well","7.320767","80.705634","A public well owened by the local council. The well is good condition. In the past, about 59 families used it for bathing. The use of the well has been abondoned due to the lack of a drain to drain the bath water.","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.- For DrainLoading and Unloading 300mm diameter 2.44m Long HumePipes1:3:6 (40mm) concrete manual mix (volume batching) Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150‐225 mm Thick Layers (Loose Volume)MiscellaneousContingencies (10%)","73,700"
,,,,,,
,,,,,,
"674","Maharawela Well 2","7.322584","80.701293","A square well, 2.0m long and 2.0m wide, is constructed. On two sides of the well, 1.5m wide pavement has been constructed and covering wall also has been constructed. About 35 families use the water for bathing. The wall and pavement of the well should be repaired.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavementMiscellaneousContingencies (10%)","30,800"
,,,,,,
"674","Dobagaspela Well","7.322319","80.699413","The well is constructed with a diameter of 2.0m. The wall of the well is in a dilapidated condition. At the ground level, the well water seeps out through the wall and out side water seeps into the well. About 50 families use the water for bathing.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavementMiscellaneousContingencies (10%)","41,800"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"674","Kurundupotha Bathing Well","7.318961","80.703","A square well, 2.0m long and 2.0m wide, is constructed. The wall of the well is in a dilapidated condition.  About 10 families use the water for bathing.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavementMiscellaneousContingencies (10%)","35,200"
,,,,,,
"701","Kolongahawaththa Linda -No 1","7.297209","80.725584","A square well, 12 foot long and 8 foot wide, is constructed.  4 feet wide pavement has been constructed.  About 300 families used it for bathing in the past.  The wall of the well is good condition and pavement of the well should be repaired.","Cleaning the wellPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavement Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.- For Drain1:3:6 (40mm) concrete manual mix (volume batching)-For DrainProviding barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceMiscellaneousContingencies (10%)","125,400"
"701","Kolongahawaththa Linda -No 2","7.297232","80.725641","The well is constructed with a diameter of 12 feet. 4 feet wide pavement has been constructed. About 300 families used it for drinking in the past.","Cleaning the wellPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavement Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.- For Drain1:3:6 (40mm) concrete manual mix (volume batching)-For DrainProviding barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fenceMiscellaneousContingencies (10%)","157,520"
"701","Ihalawela linda","7.296824","80.720273","A square well, 2.0m long and 2.0m wide, is constructed.  1.2m wide pavement has been constructed.  About 25 families used it for bathing in the past. The wall  and pavement of the well should be repaired.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavement Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.- For Drain1:3:6 (40mm) concrete manual mix (volume batching)-For DrainMiscellaneousContingencies (10%)","75,350"
"704","Well near Sugathapala's House","7.298898","80.709887","The well is constructed with a diameter of 2.0m. 1.5m wide pavement has been constructed. Water is use for farming.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavementMiscellaneousContingencies (10%)","50,600"
,,,,,,
"704","Well near Sunil Abeywikrama's House","7.302047","80.712211","A square well, 2.0m long and 2.0m wide, is constructed.  1.5m wide pavement has been constructed.  About 100 families used it for bathing in the past. Currently not in use as there is no access road The wall and pavement of the well should be repaired.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating- Well wall1:3:6 (40mm) concrete manual mix (volume batching)-For pavementMiscellaneousContingencies (10%)","64,350"
"704","Oye yaya","7.299573","80.712229","There is no boundary in the reserve. Reserve lands have been encroached.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Replanting bamboo species and vetiver grass or riparian species Making reservationContingencies (10%)","111,540"
"710","Anga Pihilla","7.321081","80.719762","A tank is constructed and water is collected and used for bathing.The access road to reach Pihilla is dilapidated.","Tank cleaning and renovation","22,000"
"711","Pihilla Kumbura Spring","7.319557","80.713220","Since 1960, about 150 families have obtained water for drinking and domestic purposes. A 2.4m long, 2.4m wide, 2.0m high is constructed. Even now, several families get water for bathing, washing clothes and for cultivation. The spring is located in a forest reserve.","Cleaning the water storage tank and repair egetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalContingencies (10%)","29,810"
"711","Pihilla Kumbura Reserve","7.319557","80.713220","A natural forest reserve.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","48,400"
"699","Punche bogahawaththa Reserve","7.288652","80.708953","A forest reserve above Pathaha. Reserve boundaries are marked. The reserve has valuable trees and medicinal plants.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","48,400"
"700","Near the Thunpela welyaya Kumbura","7.303405","80.711899","A section along the bank of Rathmal Oya, Apprropriate action should be taken prevent bank erosion. There is not enough land to conserve as a forest resrve.","Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m Replanting bamboo species and vetiver grass or riparian species","153,450"
,,,,"Total",,"1,121,120"
