"Table 5.34: Proposed interventions MWS-104","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Conduct 06 Awareness Programs","Ambakote
7.287731, 80.730620","Refreshments","120","Packs","400","48,000","2025"
,,"Fuel                                               (Rs 3,750/programs) - Two visits (for organizing and conducting program)","6","Lump sum","3,750","22,500",
,,"Stationaries (file covers/ Handouts)","3","Lump sum","2,500","12,500",
,,,,,"Sub total","83,000",
,,"Contingency (10%)",,,,"8,300",
,,,,,"Total","91,300",
"Erect 06 display boards (FD)","7.287731, 80.730620","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","1","Boards","24,250","24,250","2025"
,,"Transportation of boards","1","Truck load","5,000","5,000",
,,"Metal, Sand and Cement mixture for erection of board","1","Lump sum","750","750",
,,"Fixing Boards (2 Man days/Board)","2","Man days","2,500","5,000",
,,,,,"Sub Total","35,000",
,,"Contingency (10%)",,,,"3,500",
,,,,,"Total","38,500",
"Erect 03 display boards (DWC)","SLF holiday cottage, Riffle regiment, Coconut cultivation board","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","3","Boards","24,250","72,750","2026"
,,"Transportation of boards","3","Truck load","5,000","15,000",
,,"Metal, Sand and Cement mixture for erection of board","3","Lump sum","750","2,250",
,,"Fixing Boards (2 Man days/Board)","6","Man days","2,500","15,000",
,,,,,"Sub Total","105,000",
,,"Contingency (10%)",,,,"10,500",
,,,,,"Total","115,500",
"Maintenance of Forest Boundaries","7.287731, 80.730620","Clearing land around boundary posts (1m circle)","13","Man days","2,500","32,500","2026"
,,"Cleaning boundary posts","13","Man days","2,500","32,500",
,,"Painting boundary posts with red and yellow colours","9","Man days","2,500","22,500",
,,"Numbering boundary posts","2","Man days","2,500","5,000",
,,"Paint, Brushes and thinner","124","Lump sum","100","12,400",
,,,,,"Sub Total","104,900",
,,,,,,"10,490",
,,,,,"Total","115,390",
"Opening 2 Km of fire belt","Ambakote farmers woodlot
7.287731, 80.730620","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","250","Man days","2,500","625,000","2026"
,,,,,"Sub Total","625,000",
,,"Contingency (10%)",,,,"62,500",
,,,,,"Total","687,500",
"Maintenance of  2 Km  fire belt","Ambakote farmers woodlot
7.287731, 80.730620","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","150","Man days","2,500","375,000","2027"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","150","Man days","2,500","375,000","2028"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","150","Man days","2,500","375,000","2029"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","150","Man days","2,500","375,000","2030"
,,,,,"Sub Total","1,500,000",
,,"Contingency (10%)",,,,"150,000",
,,,,,"Total","1,650,000",
"Promote Allay Cropping - 02 ha
(Collectively 01 ha in each location)","Around Ambakote farmers woodlot
7.287731, 80.730620","Surveying (1.5 Man days/ha)","8","Man days","2,500","20,000","2026"
,,"Seedling production 500 seedling / ha (12\" x 18\")","3,000","Seedlings","300","900,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","10","Lorry loads","7,500","75,000",
,,"Transportation of seedlings inside the field (5 Man days / ha)","25","Man days","2,500","62,500",
,,"Removal of Mana grasses and other unwanted bushes","18","Man days","2,500","218,750",
,,"Holing and planting (33 Man days /ha)","165","Man days","2,500","412,500",
,,"Fertilizer","300","Kg","300","90,000",
,,"Fertilizer application (9 Man days/ ha)","45","Man days","2,500","112,500",
,,"Vacancy Planting -Seedling cost (20%)","600","Seedlings","300","180,000","2027"
,,"Vacancy Planting - Holing & Planting
(7 Man days)","35","Man days","2,500","87,500",
,,"Vacancy Planting (10%)- Seedling cost","300","Seedlings","300","90,000","2028"
,,"Vacancy Planting - Holing & Planting
(4 Man days)","20","Man days","2,500","50,000",
,,"1st years
3 maintenances, 16 Man days, 3 times/yea","240","Man days","2,500","600,000","2027"
,,"2nd year
2 maintenance (2 times /year) 10 Man days","100","Man days","2,500","250,000","2027"
,,"3rd year
2 maintenance (Once only) 10 Man days","50","Man days","2,500","125,000","2028"
,,"4th year
1 maintenance (Once only) 10 Man days","50","Man days","2,500","125,000","2029"
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000",
,,,,,"Sub Total","3,478,750",
,,"Contingency (10%)",,,,"347,875",
,,,,,"Total","3,826,625",
,"Sub Total","6,524,815",,,,,
