"Table 5.14: Estimate for rehabilitation of “Kumburegama Pathaha” in 711 Heepitiya GND","",""
"Item","Work Description","Amount  LKR"
"1","Rehabilitation of tank bund",
"1.1","Site clearing and preparation","5,000"
"1.2","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","3,873.41"
"1.3","Earth excavation form , cut & lift up to 1.0m , placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","41,550.34"
"1.4","Cutting, transporting, planting & watering turf (excluding cost of turf)","12,733"
"1.5","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","3,256.32"
"1.6","Forming tank bund machinery (This rate is excluding of transporting of machinery)","1,236.48"
"1.7","Miscellaneous","2,350.46"
,"SUB TOTAL","70,000"
"2","Reconstruction of H/W type sluice with lifting arrangement",
"2.1","Supplying of 225mm Dia x 2.44m long Hume Pipes","39,960"
"2.2","Loading and Unloading 600mm diameter 2.44m Long HumePipes","2,440.80"
"2.3","Laying & Jointing 600 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)","17,532"
"3.3","Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","95,880"
"2.4","Earthworks & Concrete works","100,000"
,"Miscellaneous","4,187.20"
,"SUB TOTAL","260,000"
"3","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","480,600"
"4","Transporting of earth moving machinery","20,000"
,"Miscellaneous","5,212.80"
,"CIVIL COST","870,000"
,"Contingencies 10%","87,000"
,"TOTAL COST","957,000"
