"Table 2.2: Land use and land cover details of MWS-104","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","3.74","0.26%"
"2","Builtup land","251.88","17.72%"
"3","Defense","42.55","2.99%"
"4","Farms & Associated lands","9.03","0.64%"
"5","Forest lands","12.83","0.90%"
"6","Forest plantation","41.43","2.92%"
"7","Grass land","12.97","0.91%"
"8","Home garden","863.95","60.77%"
"9","Mining Sites","9.67","0.68%"
"10","Paddy","75.06","5.28%"
"11","Perennials","4.20","0.30%"
"12","Rocky area","11.72","0.82%"
"13","Scrub land","32.16","2.26%"
"14","Seasonal crops","12.09","0.85%"
"15","Water bodies","33.58","2.36%"
"16","Wetland","4.73","0.33%"
,"Total","1421.59","100.00%"
