"Table 5.24: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND.No.","Scheme","Problem.to.be.addressed...Recommendation","N","E","Estimated.Cost"
"974","Stream 1 flown to Ambalammana tank","Erosion in both sides along 250m distance. Need 200m long leader drain and contour canals. Then areca nut mixed vetiver planting for 250m distance.","7.224507","80.67348","572,000"
"974","Batagolla Stream 2","Erosion in both sides along 3km distance and garbage dumping. needs 200m long leader drains and awareness","7.226146","80.67024","520,000"
"974","Batagolla Stream 3","Erosion in both sides along 3km distance.  Need 200m long leader drain and contour canals. Then areca nut mixed vetiver planting for 300m distance.","7.22729","80.66847","637,000"
"975","Stream flown from new Ambalammana village","Erosion in both sides along 3km distance.  Need 200m long leader drain and contour canals. Then areca nut mixed vetiver planting for 300m distance.","7.217192","80.67415","637,000"
"977","Stream near Kirimetiya school","Erosion in both sides along 2km. distance. Need 200m long leader drain and contour canals. Then areca nut mixed vetiver planting for 100m distance.","7.215625","80.69033","195,000"
"979","Katukithula stream near the house of Mr Wijeratne ","Erosion in both sides. Need 200m long leader drain and contour canals. Then areca nut mixed vetiver planting for 250m distance.","7.220885","80.64491","572,000"
"981","Stream near Kirimetiya Kovil","Erosion in both sides and falling boulders. Needs 1.5m x 20m RCC retaining walls,100m leader drains and100m long contour canal.","7.220743","80.68785","1,430,000"
"983","Gorakaella stream","Erosion in both sides needs 100m long leader and 200m long contour canals.","7.221265","80.69124","421,200"
"982","Galpihilla","Sedimentation and, Scouring. Needs 300m long leader drains and Then areca nut mixed vetiver planting for 400m distance.","7.232038","80.69321","897,000"
"982","Aswedduma stream","Erosion in both sides. Needs 500m long leader drains and Then areca nut mixed vetiver grass planting for 1km distance.","7.229887","80.691826","1,690,000"
"982","Nugaliyadda stream","Erosion in both sides. Needs areca nut mixed vetiver planting for 600m distance. Then need mixed dense plantations of Mee, Kumbuk, Kithul, Kekuna, Vetiver grass etc for 200 sqm area.","7.228413","80.694538","312,000"
"983","Kirigalpotta stream","Erosion in both sides. Needs 200m long leader drains and Then areca nut mixed vetiver planting for 400m distance.","7.223154","80.684609","637,000"
"983","Dewatahena stream","Erosion in both sides. Needs 200m long leader drains and Then areca nut mixed vetiver planting for 400m distance.","7.223444","80.685275","637,000"
"983","Stream near the house of Mr Lokubanda","Erosion in both sides needs a culvert, leader drain and bio fence with mixed areca betel vegetation","7.223605","80.684597","702,000"
"983","Walharupa stream","Erosion in both sides. Needs 200m long leader drains and Then areca nut mixed vetiver planting for 400m distance.","7.224079","80.683777","637,000"
"983","Kandegama gama meda stream","Erosion in both sides. Needs 200m long leader drains and Then areca nut mixed vetiver planting for 400m distance.","7.225146","80.687594","637,000"
"983","Galpotte stream","Erosion in both sides. Needs 200m long leader drains and Then areca nut mixed vetiver planting for 400m distance.","7.224774","80.689722","637,000"
