"Table 5.46: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number.of.Trainings","Duration.in.Days","Total...of.Participants","Total.cost..RS.","Con..From.DSD.RS.","Project.Con...RS.","Proposed.training.Partner"
"","","","","","","","",""
"1","Training of Trainers (for selected officers at DSD level. Common for MWS-003,004,005,006,007,008)","Budget was allocated under MWS-003","DOA/TBD",,,,,
"2","Water Management Training for the selected Development Officer of DAD at Kandy District ","Budget was allocated under MWS-003","DAD/ KITI
",,,,,
"3","Agriculture productivity improvement training for ARPAs and EDOs of Pathahewaheta DSD. (Common for MWS-003,004,005,006,007,008)","Budget was allocated under MWS-003","NRMC+ DEA",,,,,
"4","Good Practices in agrochemicals application for ARPAs and EDOs","Budget was allocated under MWS-003","DOA/ NRMC/University ",,,,,
"5","Climate Change Adaptation Awareness for MWMC (including technical committee members)","1","1","37","79,190","2,500","76,690","DOA/ University"
"6","Construction Supervisory – Basic Training for Economic Development Officers of Pathahewaheta DSD. (Common for MWS-003,004,005,006,007,008)","Budget was allocated under MWS-003","District Engineer of District Secretariat ",,,,,
"7","Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-003","CBSL Matale Regional office/CBSL HO",,,,,
"8","Water Quality Parameters and Testing Awareness for EDO ","Budget was allocated under MWS-003","NWSDB/ NRMC/ MOH",,,,,
"Training for Communities",,,,,,,,
"9","Exposure Visits to “A Park” for GPC, MDMWMC Members, and Farmer Leaders Selected by ARPA. One visit/GND","
17","1","850","   1,865,950 ","        -  ","  1,865,950 ","Agriculture Park DoA"
"10","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","
17","1","850","   1,097,950 ","        -  ","  1,097,950 ","Natural Resources Management Center/DOA"
"11","Good Practices in agrochemicals application and Integrated pest management for GPC Community Members and Identified Farmers -One training/GND","17","1","850","   1,097,950 ","        -  ","  1,097,950 ","DOA"
"12","Field day for soil and water conservation practice and method for GPC community leaders and farmers","17","1/2","850","     580,550 ","        -  ","    580,550 ","AI, AR&PA and EDO/Natural Resources Management Center"
"13","Field Day for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND","17","1/2","850","     585,650 ","        -  ","    585,650 ","AI, AR&PA and EDO"
"14","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","17","1","850","   1,106,700 ","        -  ","  1,106,700 ","DOA/NRMC"
"15","Awareness of Green Skill and Green Technology Concept for Youth and GPC members ","17","1","680","   1,247,800 ","    42,500 ","  1,205,300 ","DOA"
"16","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members of Women Development Organizations (WDOs)","17","1","680","     655,350 ","        -  ","    655,350 "," EDOs &SDO"
"17","Conduct Refresher Training on Household Money Management for GPC and Community Members ","17","1/2","680","     406,300 ","        -  ","    406,300 ","EDO and SDO"
"18","Climate Change Adaptation Awareness for GPC and selected farmers","17","1","850","     958,700 ","        -  ","    958,700 ","AI and EDO"
"19","Conduct Field Day on Climatic change Adaptation","17","1/2","850","     585,650 ","        -  ","    585,650 ","AI & EDO"
"20","Career Guidance & Career Fair Event ","1","1","200","     100,000 ","    15,000 ","     85,000 ","Skills Development Officer & Human Resources Development Assistant of DSD"
"21","Awareness on Gender and Social Inclusion ","2","1","130","     164,080 ","     5,000 ","    159,080 ","TBD"
"22","Community Awareness on forest conservation","Budget was allocated under Forest plan","Forest Department",,,,,
"23","Community Training - livelihood and Marketing"," "," "," ","   1,040,000 
"," "," "," "
"","Total Estimated Budget (LKR)","191","","9,207","11,571,820","65,000","10,466,820"," "
