"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-005","","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","ON.OFF.Farm","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","","N or X","E or Y","","","","","",""
"1","974","Shriyagama","1. Development of natural drain - Kandura to Ambanmana Wewa","5","OFF","7.224507","80.67348","350 m x 1 m x 1 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","35,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drain - Batagolla Kandura","1","OFF","7.226146","80.6702401","3,300 m x 1 m x 1 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","330,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," ",""," "," "," "," "," ","","Awareness program on waste disposal","",""," "," "
" "," ",""," ","1","OFF","7.22729","80.66847","500 m x 1 m x 1 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","3. Development of natural drain - Kandura from Ambanmana New Village","5","OFF","7.217192","80.674145","3,500 m x 1 m x 1 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","350,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," ","","4. Development of natural drain - Kandura near Kirimatiya School","3","OFF","7.215625","80.69033","3,000 m x 1 m x 1 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","300,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," "," ","10. Establishing a retaining wall","1","OFF","7.216192","80.688977","10 m x 3 m","Reaining Wall (Concrete)"," ","1,171,500","By the project","0.25 Years"
"Sub Total","2,236,500"," "," ",,,,,,,,,,
"2","975","Latiyagoolla","1. Development of natural drain - Katukithula Pihilla","4","OFF","7.22212","80.682177","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drain - Kandura from Katukithula Wewa","4","OFF","7.221212","80.68096","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","10,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","3. Development of natural drain - Kirimatiya Katukithula Kandura","3","OFF","7.219714","80.681619","300 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","30,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","4. Development of natural drain - Katukithula Kandura near Mr. Wijerathne","5","OFF","7.220885","80.684907","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","150,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","5. Development of natural drain - Kirimatiya Kvila Kandura","3","OFF","7.220743","80.687845","2.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","250,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," ","","6. Development of natural drain - Gorakaella Kandura","1","OFF","7.221265","80.691241","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","10. Establishing a retaining wall","1","OFF","7.226807","80.686003","500 m  x 3 m","Reaining Wall (Concrete)"," ","58,047,000","By the project","0.5 Years"
"Sub Total","58,687,000"," "," ",,,,,,,,,,
"3","982","Nugaliyadda Pahala","1. Development of natural drain - Galpihilla Gammadda","2","OFF","7.232038","80.693209","3 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","300,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," "," ","2. Development of natural drain - Aswaduma Kandura","4","OFF","7.229887","80.691826","3 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","300,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," "," ","3. Development of banks of Nugaliyadda Oya ","1","OFF","7.228413","80.694538","2.5 km","Planting trees along the banks (Arecanut, Nuga, Mee etc.)"," ","250,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
"Sub Total","850,000"," "," ",,,,,,,,,,
"4","983","Nugaliyadda Ihala","1. Development of natural drain - Kirigalpoththa Kandura","5","OFF","7.223154","80.684609","250 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","25,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drain - Dewatahena Kandura","4","OFF","7.223444","80.685275","250 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","25,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","3. Development of natural drain - Kandura near the house of Lokubanda","1","OFF","7.223605","80.684597","250 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","25,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","4. Development of natural drain - Walharupa Kandura","5","OFF","7.224079","80.683777","250 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","25,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","5. Development of natural drain - Kandegama Mada Kandura","1","OFF","7.225146","80.687594","50 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","5,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","6. Development of natural drain - Galpoththe Kandura","4","OFF","7.224774","80.689722","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","7. Development of natural drain - Latiyagolla near the house of Jayarathne","4","OFF","7.231025","80.689561","150 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","150,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","8. Development of natural drain - Kandura near the house of Dingiribanda","4","OFF","7.229371","80.690016","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","355,000"," "," ",,,,,,,,,,
"5","984","Butawawaththa North","1. Development of natural drain -  Pinnagolla Kandura","1","OFF","7.246334","80.701285","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","2. Development of natural drain -  5 Culvert (Bokkuwe) Kandura","1","OFF","7.241758","80.698426","2.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","250,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
