"Table 5.20: Cost estimate of minor irrigation-related proposals with locations","","","","",""
"GND.No.","Scheme","Problem.to.be.addressed..Recommendations","N","E","Estimated.Cost"
"996","Polwatta anicut","Weak upstream embankment needing 20m long 600mm high retaining wall. Opening needs planks. ","7.231791","80.693305","260,000"
"982","Polwatta canal 1","The retaining wall is unstable and unsafe. Need to provide 20m long 3m high R/W ","7.231791","80.693305","2,223,450"
"982","Polwatta canal 2","Garbage inflow with runoff. Needs drainage and under-crossing with a garbage trap. ","7.232071","80.693337","68,900"
"982","Ranke canal 1","Leaks through the lining. Requires concrete curtain wall of 100m longx600mm high ","7.2286177.227869","80.69321880.692811","507,000"
"982","Ranke canal 2","Leaks through the lining. Requires earth filling and slope protection for a length of 150m ","7.227655","80.692543","222,768"
"982","Aswedduma gurubabila Oya","Canal diversion is difficult. Need an anicut structure of 15m long ","7.228193","80.694187(50m back)","336,180"
"982","Siyabalaliyadda canal"," D/S canal leaks. Insufficient canal reservation. It needs 150m long 500mm high concrete lining and 150m long reservation filling ","7.229189","80.695267","1,434,693"
"982","Thotupola canal"," D/S canal leaks. Insufficient canal reservation. Needs 200m long 500mm high concrete lining and 200m long reservation filling ","7.229647","80.695992","1,838,668"
"982","Kotarange anicut"," Sink hole formed U/S of anicut needing concrete apron. Needs anicut planks. ","7.230245","80.695844","155,870"
"982","Kotarange canal"," D/S canal leaks. Insufficient canal reservation. Needs 250m long 300mm high concrete lining and 300m long reservation filling ","7.230495","80.695973","2,492,965"
"982","Wewethenna anicut"," Partially collapsed anicut need repairs. ","7.225469","80.68436","424,060"
"983","Wewethenna anicut 2-moragolla canal"," Silt ,gravel, rock pieces etc accumulated in the anicut and therefore inlet structure is choked. Need rehabilitation & clearing manually ","7.225385","80.68447","195,000"
"983","Wewethenna anicut 3"," Temporary anicut not serviceable. Need 12m long anicut ","7.225687","80.687385","364,416"
"983","Canal near the Wijetunga house"," Culvert collapsed and needed reconstruction with garbage trap ","7.243158","80.702957","68,900"
"984","Canal near Saranankra school"," Culvert opening is insufficient. Need 900mm Dia new culvert ","7.239819","80.700337","236,600"
"984","Bathage welyaya anicut","Anicut collapsed. Need to rehabilitate with grade 25 concrete including the inlet canal ","7.23661","80.69464","265,720"
"985","Wellamaliyadda anicut","Leaks through 5m longx1.5m high retaining wall. Need concrete curtain ","7.23496","80.6978","91,894"
"985","Wellamaliyadda canal","D/S leaks, Narrow reservation. Need partial lining and reservation protection for 400m ","7.23583","80.69846","2,061,436"
"985","Polgolla upper canal","D/S leaks, Narrow reservation. Need partial lining and reservation protection for 50m ","7.23446","80.70386","515,359"
"985","Polgolla lower canal","D/S leaks, Narrow reservation. Need reservation protection for800m ","7.235","80.70464","891,072"
"985","Bolagedhara Kandela","D/S leaks, Narrow reservation. Need partial lining and reservation protection for1 50m ","7.221948","80.70024","1,462,364"
"989","Dingiththa Kumbura ela","D/S leaks, Narrow reservation. Need partial lining and reservation protection for1 50m ","7.222572","80.699465","1,462,364"
"989","Warakawa watta track canal","D/S leaks, Narrow reservation. Need partial lining and reservation protection for200m ","7.223732","80.700173","1,949,818"
"989","Gammahala biththara pela ela","D/S leaks, Narrow reservation. Need partial lining and reservation protection for200m ","7.22422","80.700062","1,949,818"
"989"," Iriyagama canal"," D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/250m ","7.22865","80.702917","2,005,510"
"989","Thotupola Yaya Ela"," D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/300m ","7.22949","80.704133","2,061,202"
"989","Elagahagedhara anicut "," Anicut collapsed. Need to rehabilitate with grade 25 concrete including the inlet canal ","7.230247","80.704898","126,263"
"989","Elagahagedhara canal","D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/250m ","7.2303237.230384","80.7049380.705195","2,005,510"
"989","Wakkubura yaya ela","D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/300m ","7.230563","80.704066","2,061,202"
"990","Ambalam kuburuyaya ela"," D/S leaks, Narrow reservation. Need partial lining and reservation protection for200/400m ","7.23046","80.704021","2,172,586"
"990","Wakkubura ela"," Sediment deposits in the canal are to be removed by farmers. ","7.230276","80.703069","39,000"
"990","Yalkubura ela"," Sediment deposits in the canal are to be removed by farmers. ","7.231212","80.702025","39,000"
"990","Siyabala Liyadda"," Land and road pavement erosion. Needs canal lining for 250m/500m ","7.230743","80.701646","2,019,875"
"990","Wahale ela"," canal seepage needs 140m long concrete lining ","7.232457","80.701106","1,208,935"
"990","Linthota yaya ela"," Sediment deposit in canal-to be removed by farmers. Only reservation filling for 400m allowed ","n/a","n/a","445,536"
"990","Kapuwa kubura ela"," No conveyance canal. Need to investigate and construct. ","This amount shall be estimated after an investigation.",,
"990","Meegasmulla ela"," canal seepage D/S. Needs 50m long concrete lining ","7.23309","80.701026","431,763"
"990","Wagaliyadda ela"," Seepage at D/S. Sediment deposit in canal-to be removed by farmers. Need canal lining for 50m. ","7.23151","80.69766","26,000"
"990","Mandamini ela"," Sediment deposit in canal-to be removed by farmers. 50m length needs concrete lining. ","7.230485","80.700692","431,763"
"990","Aswedduma ela"," canal seepage D/S. Needs plastering to 150m long concrete lining. ","7.226826","80.700567","65,000"
"990","Heenatiwela ela"," Erosion of lands. Need 200m /900m concrete canal lining and vegetative cover protection for 600m length ","7.2284","80.699447","1,910,350"
"990","Goda ela "," Seepage at D/S. Need canal lining for 30m. ","7.23719","80.70843","242,385"
"991","Meda ela"," Seepage at D/S. Recommend 200m long areca+vegetation+Vetiver combination on reservation filling for 1.5m width. ","7.2367","80.70939","202,800"
"991","Wagale ela 1"," Seepage at D/S. Recommend 200m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ","7.20653","80.70985","202,800"
"991","Wagale ela 2"," Seepage at D/S. Recommend 300m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ","7.23741","80.71144","304,200"
"991","Wagale ela 3"," Seepage at D/S. Recommend 200m long areca+vegetation on reservation filling for 1.5m width. ","7.23875","80.71149","202,800"
"991","Meda ela"," Seepage at D/S. Recommend 400m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ","7.23868","80.7115","405,600"
"991","Delikadawatha ela"," Seepage at D/S. Recommend 300m long areca+vegetation+Vetiver combination on reservation filling for 1.5m width. ","7.23897","80.71388","304,200"
"991","Delikadawatha ela 1"," Seepage at D/S. Recommend 150m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. ","7.23905","80.71373","152,100"
"991","Kiwul Linda welyaye ela"," Seepage at D/S. Recommend 800m long areca+vegetation +Vetiver combination on reservation filling for 1.5m width. Also concrete lining for road side 1bout 100m ","7.239387.23945","80.71752780.718778","1,619,150"
"992","Rathipela anicut"," Spilling over wing walls. Anicut wing walls need raising by 600mm ","7.239775","80.7165","332,280"
"992","Thotanuwara anicut"," No anicut openings. Need to cut and provide openings and planks. ","7.239627","80.714645","65,000"
"992","Thotanuwara canal"," Seepage at D/S of earthen canal.  Recommend 50m long ,500mmX400mm L concrete lining with eco-friendly edible vegetation on reservation filling for 1m width. ","7.239372","80.715907","459,667"
"992","Malaliyadda ela"," Seepage at D/S of earthen canal.  Recommend 100m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.236508","80.708628","1,506,284"
"993","Pahala kalaliye ela"," Seepage at D/S of earthen canal.  Recommend 100m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.23162","80.713982","1,506,284"
"993","Abadanda ela"," Seepage at D/S of earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.234672","80.706748","2,259,426"
"993"," Dulmura mulla anicut and canal"," No proper anicut structure and canal. Recommend 200m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. Also 700mm high 8m long anicut structure is need. ","7.233903","80.703882","2,398,734"
"993"," Thalmuka Aswedduma ela"," Seepage at D/S of earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.23374","80.706695","2,203,734"
"993","Uda happagiriya ela"," Seepage at D/S of 200m long earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.23405","80.707845","2,203,734"
"993","Waduwaawa ela"," Seepage at D/S of 500m earthen canal.  Recommend200m long 400mmX400mm concrete channel lining with 400m eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.232978","80.707655","3,235,336"
"993","Hodupollan anicut and canal"," Seepage at D/S of 300m earthen canal.  Recommend 150m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.232445","80.713813","2,203,734"
"993","Ihala kalalge anicut and canal"," Seepage at D/S of 400m earthen canal.  Recommend 200m long 400mmX400mm concrete channel lining with 400m eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.230933","80.713932","3,235,336"
"993","Aspita wedduma anicut and canal"," Seepage at D/S of 500m earthen canal.  Recommend200m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.2296327.230311","80.7116780.713447","3,346,720"
"993","Pansale kubura anicut"," Anicut wall is damaged. Need 3m longx800mm high X250mm thick concrete wall for rehabilitation ","7.22335","80.70765","101,010"
"995","Pansale ela"," Severe D/S canal erosion about 50m. Suggest using 110mm dia GI pipe on 2m high concrete pillars as an overhead pipe. ","7.22383","80.70777","483,600"
"995","Uduwagala ela"," Highly sediment and debris deposited in 600m long canal. Need farmers to desilt seasonally. Recommend earthfill and ecofriendly edible vegetation on reservation slope. ","7.22482","80.7084","733,304"
"995","Epitagaha ela"," D/S canal seepage and damages at water delivery points. Recommends constructing 12 nos farm turnouts with wooden gates. Also Recommend 400m earthfill and eco-friendly edible vegetation on reservation slope. ","7.22857","80.70903","570,336"
"995","Gedarakubura ela"," D/S canal seepage and damages at water delivery points. Recommends to construct 16nos farm turnouts with wooden gates. Also Recommend500m earthfill and eco-friendly edible vegetation on reservation slope. ","7.22857","80.70874","723,320"
