"Table 2.2: Land use and land cover details of MWS-101-1","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","5.13","0.33%"
"2","Builtup land","16.48","1.04%"
"3","Farms & Associated lands","1.65","0.11%"
"4","Forest lands","147.22","9.32%"
"5","Forest plantation","27.31","1.73%"
"6","Grass land","20.14","1.28%"
"7","Home garden","837.30","53.01%"
"8","Mining Sites","18.72","1.19%"
"9","Paddy","75.83","4.80%"
"10","Perennials","16.32","1.03%"
"11","Rocky area","5.53","0.35%"
"12","Scrub land","172.14","10.90%"
"13","Tea","145.22","9.20%"
"14","Water bodies","90.43","5.73%"
,"Total","1579.42","100.00%"
