"Table 5.2: Details of Reported landslides/Other hazards in MWS-101-1","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N","E",,
"1","647","Dunuhappawa","1. Landsliding - Katukandaglla village","7.358045","80.720941","NBRO is aware","Taking remedial action on the recommendations of NBRO"
,,,"2. Landsliding - Halgolla Culvert","7.356709","80.724744","Needs NBRO concern","A culvert should be constructed 3 m long and 0.45 m in diameter"
,,,"3. Landsliding -  Halgolla canal","7.354114","80.723694","Needs NBRO concern","Taking remedial action on the recommendations of NBRO - Construction of a Retaining wall 11 m long and 3 m hight"
,,,"4. Landsliding - Halgolla","7.357252","80.725925","Needs NBRO concern","Taking remedial actions on the recommendations of NBRO"
"2","649","Alawathugirigama","1. Landsliding - Niyadagala earth slip","7.34291, 7.34288","80.70792, 80.70797","NBRO is aware","Taking remedial action on the recommendations of NBRO"
,,,"2. Landsliding - Janaudana gammanaye earth slip","7.34647","80.71546","Needs NBRO concern","Taking remedial action on the recommendations of NBRO"
"3","716","Kumbukkandra North","1. Landsliding - Ihala gammedda near the MOH office","7.30296","80.74365","Needs NBRO concern","Taking remedial action on the recommendations of NBRO"
,,,"2. Landsliding - Ihala gammedda (Mrs A.R.S Nasooha)","7.30379","80.73946","Needs NBRO concern","Taking remedial action on the recommendations of NBRO"
,,,"3. Landsliding -  Mrs H.F  farina  land","7.304429","80.73940","Needs NBRO concern","Taking remedial action on the recommendations of NBRO"
"4","717","Kumbukkandra South","No special issues reported",,,,
"5","718","Gonawala North","1. Landsliding - Phalagama-Kapugammedda","7.320216","80.743388","Needs NBRO concern","Paving of available stone in the stream banks to prevent bank erosion where necessary and planting areca nut, Kumbuk and bamboo, where necessary"
,,,"2. Landsliding - Mrs T.G.Kusumawathes'home,Mr. R.G. Nimal sanjeewa home at pahalgama","7.312671","80.737507","Needs NBRO concern","Taking remedial action on the recommendations of NBRO"
"6","719","Gonawala South","No special issues reported",,,,
"7","720","Maluwegama","1. Floods - Oruthota  earth slip land","7.332270","80.740030","Needs NBRO concern","Taking remedial action on the recommendations of NBRO"
,,,"2. Under ground water flaw - Nearly- No 59, Maluwegammedda home","7.319207","80.734133","NBRO is aware","Taking remedial action on the recommendations of NBRO"
"8","721","Wepathana","No special issues reported",,,,
"9","722","Kuruambemuduna","No special issues reported",,,,
"10","723","Naranpanawa East","1. Landsliding - Dembulahinna","7.338168","80.735848","NBRO is aware","Taking remedial action on the recommendations of NBRO"
,,,"2. Landsliding - Galagawaththa","7.341786","80.732214","NBRO is aware","Taking remedial action on the recommendations of NBRO"
,,,"3. Landsliding -  Tibbatulanda","7.344177","80.731265","NBRO is aware","Taking remedial action on the recommendations of NBRO"
,,,"4. Landsliding - Koswetiya","7.34659","80.732667","Needs NBRO concern","Taking remedial action on the recommendations of NBRO"
"11","724","Kandekumbura","No special issues reported",,,,
"12","725","Naranpanawa West","No special issues reported",,,,
