"Table 2.6: Age group categorization of the population of MWS-101-1 (GN-wise)","","","",""
"GND No","GND Name","X0 5","X6 14","X15 18"
"720","Maluwegama","89","200","191"
"723","Naranpanawa East","48","116","67"
"647","Dunuhappawa","152","182","146"
"719","Gonawala South","111","274","60"
"716","Kumbukkandura North","227","301","216"
"649","Alawathugirigama","204","336","145"
"717","Kumbukkandura South","133","453","96"
"718","Gonawala North","171","370","117"
"721","Wepathana","88","61","144"
"722","Kuruambemuduna","40","86","40"
"724","Kandekumbura","35","95","36"
"725","Naranpanawa West","66","177","53"
"Total","1364","2651","1311",
