"Table 5.36: Cost estimation of livelihood development activities","","","","","","",""
"Type","X Items Needed","X GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency","Final cost to LA  GoSL  Rs"
"Paddy","Supply of parachute Trays","For MWS 101-1","2800","80.00","224,000.00","0.75","168,000.00"
,"Supply of certified seed paddy (bu)","For MWS 101-1","10","4,200.00","42,000.00","1","42,000.00"
,"Soil testing","For MWS 101-1","8","290.00","2,320.00","1","2,320.00"
,"Supply of Bio films (1 Liter) Bottles","For MWS 101-1","10","900.00","9,000.00","1","9,000.00"
,"supply of Cruiser as seed Treatments","For MWS 101-1","5","900.00","4,500.00","1","4,500.00"
"Supply of Agriculrural Machineries and Equipments","Supply of Agri Fence","For MWS 101-1","50","7,500.00","375,000.00","0.75","281,250.00"
,"Supply of Electri fence","For MWS 101-1","10","40,000.00","400,000.00","0.75","300,000.00"
,"Supply of Water Pumps (Robin)","For MWS 101-1","5","70,000.00","350,000.00","0.75","262,500.00"
,"Supply of Brush Cutters","For MWS 101-1","5","30,000.00","150,000.00","0.75","112,500.00"
,"Supply of Knapsac Sprayers  (16L)","For MWS 101-1","2","30,000.00","60,000.00","0.75","45,000.00"
"Vegitable","Green chili","For MWS 101-1","45","40/perch’s unit - 50g. 1,500.00","67,500.00","1","67,500.00"
,"Beans","For MWS 101-1","25","40/perch’s unit - 1500g. 4,500.00","37,500.00","1","37,500.00"
,"Tomato","For MWS 101-1","30","40/perch’s unit - 10g. 6,000.00","180,000.00","1","180,000.00"
"Fruits","Supply of Banana Tissue Culture Seedlings- Amban","For MWS 101-1","150","130.00","900,000.00","1","900,000.00"
,"Supply of Manderin Seedlings","For MWS 101-1","80","300.00","480,000.00","1","480,000.00"
,"Supply of Trichoderma (1 liter bottles)","For MWS 101-1","12","1,000.00","72,000.00","1","72,000.00"
"Export Crops","Coffee","For MWS 101-1","1500","30.00","45,000.00","1","45,000.00"
,"Pepar","For MWS 101-1","2,400","40.00","96,000.00","1","96,000.00"
,"Areca nut","For MWS 101-1","150","40.00","6,000.00","1","6,000.00"
,"No of cows","For MWS 101-1","5","250,000.00","1,250,000.00","0.5","625,000.00"
,"No of chicks","For MWS 101-1","550","1,500.00","825,000.00","0.5","412,500.00"
,"No of sheds - cow","For MWS 101-1","4","300,000.00","1,200,000.00","0.5","600,000.00"
"Protected Agriculture","Polytunnel","For MWS 101-1","4","700,000.00","2,800,000.00","0.5","1,400,000.00"
"Value added products","Bee keeping (Box 4000/= bees)","For MWS 101-1","30","8,000.00","240,000.00","0.75","180,000.00"
"Total Cost",,,,,"9,815,820.00",,"6,328,570.00"
