"Table 5.2: Key ON-SITE activities proposed for soil and water conservation in MWS-007-1","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Unit.Cost..LKR.","Total.Cost..LKR.","Contribution..Local.Community..LA..and.the.project.","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
"1","988","Sinharagama","1. Soil conservation practices - Shivagami (5°)","2","7.251864 7.251845","80.711928 80.712050","16 ha","Lock and spills - 6 ha","400 m-1","2,400,000","Labour and other basic services by the Local community","1  Year"
" "," ",""," "," "," "," ","","Live fencing/SALT - 10 ha","250 m-1","2,500,000","",""
" "," ","","2. Soil conservation practices - N.P.E. Senarathne (65°)","4","7.253405","80.709052","2.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","562,500","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Thilakarathne Fonseka (75°)","4","7.253982","80.715225","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","4. Soil conservation practices - Pubudugama Royal (70°)","2","7.246594","80.718137","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","7,337,500"," "," ",,,,,,,,,
"2","1001","Haragama","1. Soil and water conservation practices -  Sugathanandarama Temples (85°)","1","7.250282","80.731071","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil conservation practices - Anuragama Middle Road (85°)","5","7.2493017.249021","80.74272080.743037","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," "," "," "," "," ","Introducing perennial crops like coffee, pepper"," ","",""," "
"Sub Total","625,000"," "," ",,,,,,,,,
"3","1002","Udamailapitiya North","1. Soil conservation practices -  Udamailapitiya (45 - 75°)","2","7.227303","80.755041","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," ","1","7.227468","80.749495","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," "," ","4","7.230176","80.751087","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.25 Years"
" ","Sub Total","5,500,000"," "," ",,,,,,,,
"4","1004","Kekigannawala","1. Soil conservation practices - K. Sandanam, Kegar Estate (60°)","1","7.213410","80.753090","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," "," ","2. Soil conservation practices - Dodamgolla (60°)","5","7.216621","80.748525","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","10,000,000"," "," ",,,,,,,,,
"5","1006","Patha Mailapitiya South","1. Soil conservation practices - Aponso Waththa (40°)","1","7.232039","80.754728","7.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,800,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - Aponso Waththa (25°)","3","7.236719","80.756104","3.2 ha","Lock and spills ","400 m-1","1,280,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Mailapitiya 17th Post (70°)","1","7.236286","80.74466","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","4. Soil conservation practices - Patha Mailapitiya South (75°)","4","7.235614","80.743849","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
" ","Sub Total","5,480,000"," "," ",,,,,,,,
"","","","","","","","","Grand Total","","28,942,500","",""
