"Table 2.2: Land use and land cover details of MWS-007-1","","",""
"No.","Land.cover","Area","NA."
"","","ha","%"
"1","Builtup land","10.4","0.8%"
"2","Chena","109.3","8.3%"
"3","Farms & Associated lands","37.2","2.8%"
"4","Forest lands","87.0","6.6%"
"5","Forest plantation","14.3","1.1%"
"6","Home garden","527.0","40.1%"
"7","Mining Sites","4.6","0.4%"
"8","Paddy","2.8","0.2%"
"9","Perennials","117.9","9.0%"
"10","Rocky area","5.1","0.4%"
"11","Scrub land","178.9","13.6%"
"12","Seasonal crops","4.3","0.3%"
"13","Water bodies","214.9","16.4%"
"","Total","1313.7","100.0%"
