"Table 5.3: Key OFF-SITE activities proposed for soil and water conservation in MWS-007-1","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Unit.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
"1","988","Sinharagama","No special issues are reported",,,,,,,,,
"2","1001","Haragama","1. Development of banks of the Mahaweli River (85°)","4","7.2503697.2503817.249547.245881","80.73651180.73988280.74229680.743697","4 km","Planting trees along the banks (Arecanut, Nuga, Mee etc.)"," ","400,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","400,000"," "," ",,,,,,,,,
"3","1002","Udamailapitiya North","1. Development of natural dain - Kolabothenna Mala Kandura","1","7.229576","80.754336","3 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","300,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drain - Kandura near Pragathi Nursery (Plants)"," "," ","","20 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","2,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","302,000"," "," ",,,,,,,,,
"4","1004","Kekigannawala","1. Development of natural dain - Main Kandura at the middle of the village","3","7.214107","80.75317","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","2. Development of natural dain - Athuru Mala Kandura","5","7.213807","80.750202","550 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","55,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","3. Establishing a retaining wall","4","7.213745","80.750169","50 m x 2 m","Retaining Wall (Masonry)"," ","2,200,000","By the project","0.25 Years"
"Sub Total","2,455,000"," "," ",,,,,,,,,
"5","1006","Patha Mailapitiya South","1. Development of natural drains - Kukunuge Ela/Ettamban Ela","4","7.23557","80.740009","2 km ","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drains - Hathbeya Ela","5","7.233052","80.743542","3 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","3. Development of natural drains - Mailapitiya Central College Ela","5","7.230487","80.748899","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","40,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ",""," "," "," "," ","65 m x 2 m","Retaining Wall (Masonry)"," ","2,860,000","By the project",""
" ","Sub Total","3,300,000"," "," ",,,,,,,,
"","","","","","","","","Grand Total","","6,457,000","",""
