"Table 5.31: Proposed interventions MWS-010","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Hopewatta,
Handawalapitiya,
Aluthgama","6","35,000","210,000","2025 and 2026"
"Establish forest protection action groups (With fire protection items)","Hopewatta,
Handawalapitiya,
Aluthgama","3","35,000","105,000","2025"
"Maintain forest boundaries","Kirimatiya forest
 (9.9 Km)","515 boundary posts","900","463,500","2025"
"Maintain forest boundaries","Piduruthalagala Conservation forest (16.1Km)","644 boundary posts","900","579,600","2026"
"Erect display boards","Hopewatta,
Handawalapitiya,
Aluthgama","6 Boards","38,500","231,000","2025"
"Distribute energy efficient stows","Hopewatta,
Handawalapitiya,
Aluthgama","100 units","1,100","110,000","2025"
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) & maintenance","Kirimatiya","2 km","383,900","767,800","2025- 2026"
"Conversion of pine into broad leaves species (Including maintenance for 4 years)","Sub block 2-2 and sub block 2-3 of Hanguranketha","13 ha","553,340","7,193,420","2026- 2030"
"Introduce high yielding grass species into private lands","Hopewatta,
Handawalapitiya,
Aluthgama","20 ha","5,000","100,000","2026"
"Home garden development","Hopewatta,
Handawalapitiya,
Aluthgama","100 Home gardens","2000","200,000","2026"
"Total",,,,"9,960,320",
