"Table 5.45: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  LKR","Con  From DSD  LKR   Institution","Project Con   LKR","Proposed training Partner"
"1","Project Awareness and Orientation Program (For MWS-002-2,009, 010, 011,012,013,014,018-2 and 020-2)","Budget was allocated under MWS-002-2 (Hanguranketha)","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level) (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/TBD",,,,,
"3","Water Management Training for the selected Development officer of DAD in Nuwara Eliya District.","Budget was allocated under MWS-002-2 (Hanguranketha)","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs of Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","NRMC+ DEA",,,,,
"5","Good Practices of Agrochemical Application Training for ARPA and EDOs of Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC/ University",,,,,
"6","Climate Change Adaptation Awareness for MWMC (including Technical committee members)","1","1","21","64,290","2,500","61,790","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers of Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","District Engineer of District Secretariat",,,,,
"8","Water Quality Parameters and Testing Awareness for EDO of Hanguranketha DSD (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","NWS&DB/ NRMC",,,,,
"9","Forest Fire Prevention and Control Training for Selected officers of Forest Department in Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"11","Forest Restoration training for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for selected Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ Natural Resources Management Center/University",,,,,
"15","Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-002-2 (Hanguranketha)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","4","1","200","312,800","-","312,800","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","4","1","200","268,800","-","268,800","Natural Resources Management Center/DOA"
"18","Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers","4","1","200","264,600","-","264,600","DOA"
"19","Important of Home Garden Improvement for watershed Management (All (9 MWM in Hanguranketha DSD) (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"20","Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers","4","1","200","148,000","-","148,000","AI, AR&PA and EDO/ Natural Resources Management Center"
"21","Field Day - for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND","4","1","200","148,000","-","148,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","4","1","200","264,800",,"264,800","DOA/NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","4","1","160","297,200","10,000","287,200","DOA"
"24","Climate Change Adaptation Awareness on for GPC and selected farmers","4","1","200","236,000",,"236,000","AI,EDO"
"25","Conduct Field Day on Climatic Training Adaptation","4","1","200","140,000","-","140,000","AI & EDO"
"26","Awareness on Forest Fire Prevention and Control GPC and community members","4","1","200","324,800","-","324,800","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","4","1","200","324,800","-","324,800","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Hanguranketha DSD)","Training was allocated under MWS-002-2 (Hanguranketha)",,,,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","4","1","200","184,800",,"184,800","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","4","1","200","128,400",,"128,400","EDO and SDO"
"31","Career Guidance & Career Fair Event (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Awareness on Gender and Social Inclusion Training","1","1","42","59,880","2,500","57,380","TBD"
"33","Community Training - livelihood and Marketing",,,,"675,000",,"675,000",
,"Total Estimated budget",,,"2,623","3,842,170","15,000","3,827,170",
