"Table 5.16: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND No","Scheme","Problem to be addressed   Recommendation","N","E","Estimated Cost"
"499G","Dhaaraoya Kirimetiya stream","Soil erosion of land on both sides(200m). Recommend 1. Construct (2mx2mx1m) one SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 150 m2.","7.117447","80.741565","182,000"
"499G","Pussala Oya","Soil erosion of land on both sides(800m). Recommend 1. Construct (2mx2mx1m) three SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2.","7.115768","80.746258","511,550"
"501B","Muloya","Soil erosion of land on both sides(over 9km length). Recommend 1. Construct (2mx2mx1m) ten SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 2500 m2 including catchment of the tank.","7.101766","80.754391","2,862,600"
"501B","Muloya branch 1","Soil erosion of land on both sides(over 9km length). Recommend 1. Construct (2mx2mx1m) ten SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 2500 m2.","7.101766","80.754391","2,689,050"
"501B","Opawatta Oya","Soil erosion of land on both sides(over 9km length). Recommend 1. Construct (2mx2mx1m) five SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 2000 m2.","7.101357","80.753072","2,125,500"
"501E","Patti Arawa Oya","Soil erosion of embankments (about 1.5km length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.","7.122472","80.768008","504,400"
"501E","Mirishena stream","Soil erosion of embankments (about 100m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.","7.120214","80.769448","37,830"
"501E","Naaya kandura","Soil erosion of embankments (about 300m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.","7.121893","80.766795","151,320"
"501E","Kumara Pihilla","Soil erosion of embankments (about 1km length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. 2. To construct 100 m long 1mx1m leader drain","7.114147","80.768171","562,640"
"501E","Panwatta Oya","Soil erosion of embankments (about 400m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.","7.124668","80.766847","201,760"
"501E","Panwatta kandura","Soil erosion of embankments (about 400m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. 2. To construct 200 m long 1mx1m leader drain","7.125043","80.766855","671,320"
"501E","Panwatta dry stream","Soil erosion of embankments (about 500m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. 2. To construct 200 m long 1mx1m leader drain","7.125043","80.766855","721,760"
"501E","Nelliwala dry stream","Soil erosion of embankments (about 100m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.","7.125158","80.768046","37,830"
"501E","Karalayin watta stream","Soil erosion of embankments (about 200m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. 2. To construct 100 m long 1mx1m leader drain","7.120396","80.771882","335,660"
"501E","Enasal Arawa","Soil erosion of embankments (about 400m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established.","7.116247","80.769949","201,760"
"501F","Rookwood Oya","Soil erosion of 3km length. Soil erosion of land on both sides(3km). Recommend 1. Construct (3mx2mx1m) six SABO- boulder dams across the stream locations where stream is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Vetiver gras randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.","7.084579","80.76112","1,743,300"
,"Total cost","LKR 13,540,280",,,
