"Table 2.2: Land use and land cover details of MWS-010","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","1.4","0.1%"
"2","Forest lands","424.3","21.8%"
"3","Forest plantation","214.6","11.0%"
"4","Grass land","0.1","0.0%"
"5","Home garden","95.9","4.9%"
"6","Paddy","28.2","1.5%"
"7","Rocky area","28.5","1.5%"
"8","Scrub land","20.0","1.0%"
"9","Seasonal crops","129.7","6.7%"
"10","Tea","958.2","49.3%"
"11","Water bodies","11.2","0.6%"
"12","Wetland","31.9","1.6%"
,"Total","1944.1","100.00%"
