"Table 2.2: Land use and land cover details of MWS-004-2","","",""
"No.","Land.cover","Area","NA."
"","","ha","%"
"1","Bare land","18.6","1.7%"
"2","Builtup land","11.8","1.0%"
"3","Chena","0.8","0.1%"
"4","Farms & Associated lands","0.3","0.0%"
"5","Forest lands","26.1","2.3%"
"6","Forest plantation","5.0","0.4%"
"7","Grass land","9.2","0.8%"
"8","Home garden","606.8","54.0%"
"9","Mining Sites","2.2","0.2%"
"10","Paddy","115.9","10.3%"
"11","Perennials","187.5","16.7%"
"12","Rocky area","1.7","0.1%"
"13","Scrub land","50.8","4.5%"
"14","Seasonal crops","16.5","1.5%"
"15","Tea","67.6","6.0%"
"16","Water bodies","3.6","0.3%"
"","","1124.3","100.0%"
