"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-004-2","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N","E","","","","","",""
"1","956","Koshinna","1. Soil and mointure conservation measures in Kossinnawaththa (60 - 70°)","3","7.2587660","80.6844340","3.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","875,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," ","1","7.2572690","80.6830010","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","","0.5 Years"
" "," ",""," ","1","7.2565400","80.6829300","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","","1.5 Years"
" "," ",""," ","4","7.2578620","80.6828040","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","","0.25 Years"
" "," ",""," ","3","7.2556550","80.6838800","1.5 ha","Planting trees"," ","150,000","","0.25 Years"
"Sub Total","7,025,000"," "," ",,,,,,,,,
"2","968","Ethulgama East","1. Soil and moisture conservation - Ms. W.R.M. Anulawathi (70°)","2","7.2404190","80.6737480","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil and moisture conservation - Mr. Ashoka (70°)","4","7.2472000","80.6748470","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","","0.25 Years"
" "," ","","3. Soil and moisture conservation - Mr. Nikalande Chithra (70°)","3","7.2476810","80.6751030","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,625,000"," "," ",,,,,,,,,
"3","957","Pussathenna","No special issues are reported",,,,,,,,,
"Sub Total","-"," "," ",,,,,,,,,
"4","959","Batagalla","1. Soil and moisture conservation - Home garden, Batagalla (70°)","1","7.2441790","80.6888750","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," "," ","2. Soil and moisture conservation - Ms. K.W.H.M. Seelawathi, Batagalla (70°)","3","7.2451310","80.6848160","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","16,000,000"," "," ",,,,,,,,,
