"Table 5.24: Proposed interventions MWS-004-2 of the Pathahewaheta Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate..LKR.","Amount..LKR.","Duration"
"Conduct Awareness Programs
(5 programs)","Thalathuoya,
Egodagama,
Nugaliyadda","Refreshments","250","Packs","400","100,000","2025"
"","","Fuel (Rs 3,750/programs) - Two visits (for organizing and conducting program)","10","Lump sum","3,750","37,500",""
"","","Stationaries  
(file covers/ Handouts)","5","Lump sum","2,500","12,500",""
"",""," "," "," ","Sub total","150,000",""
"","","Contingency (10%)"," "," "," ","15,000",""
"",""," "," "," ","Total ","165,000",""
"Erect display boards 
(3 boards)","Thalathuoya,
Egodagama,
Nugaliyadda","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","3","Boards","24,250","72,750","2025"
"","","Transportation of boards","3","Truck load","5,000","15,000",""
"","","Metal, Sand and Cement mixture for erection of board","3","Lump sum","750","2,250",""
"","","Fixing Boards (2 Man days/Board)","6","Man days","2,500","15,000",""
"",""," "," "," ","Sub Total","105,000",""
"","","Contingency (10%)"," "," "," ","10,500",""
"",""," "," "," ","Total","115,500",""
"Watershed Conservation around streams (100 Seedlings)","Thalathuoya","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","100","Seedlings","300","30,000","2026"
"","","Transportation of seedlings (300/Lorry load)","1","-","5,000","5,000",""
"","","Head transport of seedling within the site 
(5 Man days)","2","Man days","2,500","5,000",""
"","","Holing and planting
 (33 Man days)","8","Man days","2,500","20,625",""
"","","Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')- ","100","Wooden boxes","250","25,000",""
"","","Fertilizer  
(110 gr / Seedling)","10","Kg","300","3,000",""
"","","Applying fertilizer 
(9 Man days/ha)","2","Man Days","2,500","5,625",""
"","","Vacancy Planting -Seedling cost (20%) ","20","Seedlings","300","6,000","2027"
"","","Vacancy Planting - Holing & Planting (7 Man days)","2.0","Man days","2,500","5,000",""
"","","Vacancy Planting (10%)- Seedling cost ","40","Seedlings","300","12,000","2028"
"","","Vacancy Planting - Holing & Planting (7 Man days)","1","Man days","2,500","2,500",""
"","","1st years 3 maintenance, 12Man days, 3 times/year","9","Man days","2,500","22,500","2027"
"",""," 2nd year 2 maintenance (2 times /year) 10 Man days","5","Man days","2,500","12,500","2028"
"","","3rd year 2 maintenance (Once only) 8 Man days ","5","Man days","2,500","12,500","2029"
"",""," 4th year 1 maintenance (Once only) 12 Man days","3","Man days","2,500","7,500","2030"
"","","Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2030"
"",""," "," "," ","Sub Total","184,750",""
"","","Contingency"," "," "," ","18,475",""
"",""," "," "," ","Total","203,225",""
"Watershed Conservation (400 Seedlings) – By DS","Sriyagama-ulpatha","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","400","Seedlings","300","120,000","2026"
"","","Transportation of seedlings (300/Lorry load)","2","-","5,000","10,000",""
"","","Head transport of seedling within the site
 (5 Man days)","5","Man days","2,500","12,500",""
"","","Holing and planting 
(33 Man days)","33","Man days","2,500","82,500",""
"","","Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')- ","400","Wooden boxes","250","100,000",""
"","","Fertilizer  
(110 gr / Seedling)","40","Kg","300","12,000",""
"","","Applying fertilizer 
(9 Man days/ha)","9","Man Days","2,500","22,500",""
"","","Vacancy Planting -Seedling cost (20%) ","80","Seedlings","300","24,000","2027"
"","","Vacancy Planting - Holing & Planting (7 Man days)","7.0","Man days","2,500","17,500",""
"","","Vacancy Planting (10%)- Seedling cost ","40","Seedlings","300","12,000","2028"
"","","Vacancy Planting - Holing & Planting (7 Man days)","4","Man days","2,500","10,000",""
"","","1st years 3 maintenance, 12Man days, 3 times/year","36","Man days","2,500","90,000","2027"
"",""," 2nd year 2 maintenance (2 times /year) 10 Man days","20","Man days","2,500","50,000","2028"
"","","3rd year 2 maintenance (Once only) 8 Man days ","20","Man days","2,500","50,000","2029"
"",""," 4th year 1 maintenance (Once only) 12 Man days","12","Man days","2,500","30,000","2030"
"","","Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2030"
"",""," "," "," ","Sub Total","653,000",""
"","","Contingency"," "," "," ","65,300",""
"",""," "," "," ","Total","718,300",""
"","","Grand Total","","","","1,202,025",""
