"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-004-2","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","ON OFF Farm","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N or X","E or Y",,,,,,
"1","956","Koshinna","1. Renovation of Gamameda Kandura Main Drain","1","OFF","7.2575910","80.6842210","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Rennovation of Kosssinna Waththa Kandura as a Main Drain","2","OFF","7.2565300","80.6830400","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Rennovation of 5th Post Kandura as a Main Drain","4","OFF","7.2590920","80.6867410","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Rennovation of Gamameda Kandura (II) as a Main Drain","5","OFF","7.2622320","80.6847750","900 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"90,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Rennovation of Peeneswaththa Kandura (I) as a Main Drain","3","OFF","7.2603070","80.6845190","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Rennovation of Peeneswaththa Kandura (II) as a Main Drain","3","OFF","7.2597720","80.6844420","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Establishing a Retaining Wall in Kossinna","3","OFF","7.2579060","80.6847410","20 m x 2 m","Retaining Wall (Mansonary)",,"880,000","By the project","0.25 Years"
,,,,"1","OFF","7.2580320","80.6833362","15 m x 3 m","Retaining Wall (Concrete)",,"1,749,000",,"0.25 Years"
,,,"8. Establishing a Retaining Wall in Gammeda Kumbura","5","OFF","7.2622320","80.6847750","50 m x 2 m","Retaining Wall (Mansonary)",,"2,200,000","By the project","0.25 Years"
