No.,GND No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,956,Koshinna,Cracks in retaining wall,7.257906,80.684741,Needs NBRO concern,Establishing a retaining wall (20 m x 2.5 m)
2,956,Koshinna,Bank sloughing,7.258032,80.6833362,Needs NBRO concern,Establishing a retaining wall (15 m x 6 m)
3,956,Koshinna,Gully erosion/Erosion in 'Kandura',7.262232,80.684775,Needs NBRO concern,Establishing retaining wall (50 m x 1.5 m)
4,968,Ethulgama East,Sloughing in heavy rains - near Ms. Sudarma Kumari's house,7.239439,80.672482,Needs NBRO concern,
5,968,Ethulgama East,"Landsliding, soil sloughing, wall cracking in houses, road sliding",7.239842,80.67364,NBRO Recommendation taken,"Renovation of the stream, Establishing the drain (10 m)"
6,968,Ethulgama East,Sliding the retaining wall near Pahanwala Temple,7.2412,80.677111,Needs NBRO concern,"Establishing a retaining wall (15 m x 5 m), Renovation of culverts"
7,959,Batagalla,Soil sloughing - K.W.H. Seelawathi,7.245006,80.685066,NBRO has recommended,"Establishing a fire break, Soil and water conservation practices in the lands above this land "
8,960,Thalathuoya West,Landsliding and soil sloughing near Thalathuoya Junior School - 80°,7.25234,80.68903,Needs NBRO concern,Establishing a retaining wall (20 m x 0.5 m)
9,960,Thalathuoya West,Landsliding and soil sloughing at the entrance to Hippala Road - 85°,7.252564,80.68876,NBRO Recommendation taken,Establishing a retaining wall (20 m x 6 m)
10,960,Thalathuoya West,Land Slides near Thalathuoya Samurdhi Bank - 80°,7.253096,80.690094,Needs NBRO concern,Establishing a retaining wall (30 m x 1 m)
11,969,Haputhale Udagama,Cracks in side wall - Isipathanaramaya,7.231925,80.681315,Needs NBRO concern,Establishing a relataining wall (20 m x 6 m)
12,969,Haputhale Udagama,Cracks in the earth (12 m) - W.M. Upali Wickramasinghe home garden,7.232306,80.674639,Needs NBRO concern,Establishing a relataining wall (12 m x 3 m)
13,970,Haputhale Pallegama,Landsliding - I.P. Nimal Senevirathne (70°),7.228458,80.687425,NBRO has visited,Establishing retaining wall (17 m x 5 m)
14,971,Ankelipitiya,"Landsliding - Narankaduwa, Galwala (80°)",7.243867,80.689982,NBRO has visited,Adapting proper land management practices
15,973,Moragolla,1. Soil sloughing and blocking roads (85°) - Dewale Ella,7.228008,80.675713,NBRO has visited,"Establishing retaining wall (50 m x 5 m)
Adapting soil conservation practices"
16,973,Moragolla,"2. Soil sloughing, rolling stones, water flow through the house (60°) - H.P. Namal Wijesooriys/Another land has been given. ",7.228848,80.676473,NBRO has visited,"Should not establish heavy structures/buildings, even big trees"
17,973,Moragolla,3. Soil sloughing and landsliding - Ranhotikanda (60°),7.229024,80.677026,NBRO has visited,Establishing a retaining wall (20 m x 5 m)
18,973,Moragolla,4. Land sliding,7.229646,80.683095,NBRO has visited,Establishing a retaining wall (20 m x 0.5 m)
19,973,Moragolla,5. Land sliding - J.M. Manel Kumari,7.23073,80.682097,NBRO has visited,Establishing a retaining wall (10 m x 2.5 m)
20,973,Moragolla,6. Trees and stones falling into the ground,7.229352,80.684847,NBRO has visited,Establishing a retaining wall (10 m x 2 m)
21,973,Moragolla,7. Soil sloughing - near the shop 'Persy',7.230584,80.681912,NBRO has visited,Establishing a retaining wall (30 m x 7 m)
22,973,Moragolla,"8. Soil sloughing/sliding, cracks in walls - Sanath Kularathne",7.230944,80.682346,NBRO has visited,Establishing a retaining wall (10 m x 2.5 m)
23,972,Haputhale Egodagama,1. Breaking the (soil) terrace/wall - Mr. Rasika Nalaka,7.236571,80.673124,Needs NBRO concern,Establishing a retaining wall (10 m x 3 m)
24,972,Haputhale Egodagama,"2. Soil sloughing, road erosion - Pinunwanatha Pihilla",7.235815,80.673144,Needs NBRO concern,Establishing a retaining wall (6 m x 1 m)
25,972,Haputhale Egodagama,"3. Soil sloughing and landsliding - Egodagama, Dodamgasthenne Road (85°)",7.237104,80.674364,Needs NBRO concern,Establishing a retaining wall (20 m x 3 m)
26,986,Pinnagolla,1. Landsliding - Pinnagolla Road,7.249339,80.700973,Needs NBRO concern,Establishing a retaining wall (6 m x 2 m)
27,986,Pinnagolla,2. Cracks in walls and on the ground,7.252699,80.699358,Needs NBRO concern,Establishing a retaining wall (200 m x 2.5 m)
